Scenario,Scenario_Label,Model,Event_Type,Split_Year,Percent_RR_GT_1
countclim-1901soc,Natural,h08,Drought,1980,49.123724823437094
countclim-1901soc,Natural,h08,Drought,1985,46.87418257912634
countclim-1901soc,Natural,h08,Drought,1990,47.083442322783156
countclim-1901soc,Natural,h08,Flood,1980,51.94873136280408
countclim-1901soc,Natural,h08,Flood,1985,49.35914203505101
countclim-1901soc,Natural,h08,Flood,1990,52.995030081088146
countclim-1901soc,Natural,hydropy,Drought,1980,32.65199161425576
countclim-1901soc,Natural,hydropy,Drought,1985,33.17610062893082
countclim-1901soc,Natural,hydropy,Drought,1990,31.70859538784067
countclim-1901soc,Natural,hydropy,Flood,1980,62.97169811320755
countclim-1901soc,Natural,hydropy,Flood,1985,59.774633123689725
countclim-1901soc,Natural,hydropy,Flood,1990,61.16352201257862
countclim-1901soc,Natural,jules-w2,Drought,1980,49.2612293144208
countclim-1901soc,Natural,jules-w2,Drought,1985,48.19739952718676
countclim-1901soc,Natural,jules-w2,Drought,1990,46.39479905437352
countclim-1901soc,Natural,jules-w2,Flood,1980,50.76832151300237
countclim-1901soc,Natural,jules-w2,Flood,1985,47.6063829787234
countclim-1901soc,Natural,jules-w2,Flood,1990,51.00472813238771
countclim-1901soc,Natural,lpjml5-7-10-fire,Drought,1980,44.82880338863396
countclim-1901soc,Natural,lpjml5-7-10-fire,Drought,1985,43.62866219555242
countclim-1901soc,Natural,lpjml5-7-10-fire,Drought,1990,41.4754677020826
countclim-1901soc,Natural,lpjml5-7-10-fire,Flood,1980,52.3826332509707
countclim-1901soc,Natural,lpjml5-7-10-fire,Flood,1985,51.92375573596893
countclim-1901soc,Natural,lpjml5-7-10-fire,Flood,1990,53.86516060713025
countclim-1901soc,Natural,miroc-integ-land,Drought,1980,37.50980905048391
countclim-1901soc,Natural,miroc-integ-land,Drought,1985,37.84985613392624
countclim-1901soc,Natural,miroc-integ-land,Drought,1990,38.00680094166884
countclim-1901soc,Natural,miroc-integ-land,Flood,1980,53.308919696573376
countclim-1901soc,Natural,miroc-integ-land,Flood,1985,51.08553492021972
