Scenario,Scenario_Label,Event_Type,Split_Year,mean,std,min,max,q25,q75
countclim-1901soc,Natural,Drought,1980,42.6666004248375,6.926726645324124,32.65199161425576,49.2612293144208,37.095688117143084,48.866401211132896
countclim-1901soc,Natural,Drought,1985,41.7922763319316,6.168979985707691,33.17610062893082,48.19739952718676,36.71351602383927,47.05836996208635
countclim-1901soc,Natural,Drought,1990,40.86061416641129,6.1726677183383565,31.70859538784067,47.083442322783156,36.45015303459987,46.42824384148642
countclim-1901soc,Natural,Flood,1980,54.663937711470105,4.292217855964797,50.76832151300237,62.97169811320755,52.16568230688739,55.633630021866324
countclim-1901soc,Natural,Flood,1985,52.69669877122247,4.48445302572291,47.6063829787234,59.774633123689725,50.22233847763536,54.95214870679593
countclim-1901soc,Natural,Flood,1990,55.2024115648079,4.035427736810958,51.00472813238771,61.16352201257862,53.02264925235471,57.30334022993904
countclim-histsoc,Historical,Drought,1980,44.050217265411845,5.945452666675571,36.41147066561431,50.326968349463776,38.86811577394025,49.052590052324746
countclim-histsoc,Historical,Drought,1985,43.64635488898756,5.540596742052705,35.280189423835836,49.306827099136804,39.43045335224129,47.8881747894836
countclim-histsoc,Historical,Drought,1990,42.92047352774255,5.330000543674808,35.22757169166009,49.72534658645043,38.919686976816365,46.732487975413335
countclim-histsoc,Historical,Flood,1980,55.38418579323014,3.802803793117491,50.649350649350644,60.534591194968556,53.29584096259482,57.74380337209581
countclim-histsoc,Historical,Flood,1985,52.82165591209663,4.171738186070073,47.992916174734354,60.35253880557748,50.67213624071384,54.50124323533714
countclim-histsoc,Historical,Flood,1990,55.04479675824603,3.8078529272377084,51.26918536009445,62.246777163904234,52.9557938791525,56.11908355161975
obsclim-histsoc,Factual,Drought,1980,42.48737416754153,6.34674238675913,36.92217671152721,53.099659952916554,37.37172082777508,45.47729948022655
obsclim-histsoc,Factual,Drought,1985,41.559345091808495,6.2430522909127735,34.34757167934465,52.2364635103322,37.31555168876606,44.221586214087665
obsclim-histsoc,Factual,Drought,1990,41.434160962568875,6.677303202424757,33.67466354593329,53.57049437614438,37.370850523850436,44.03282061094902
obsclim-histsoc,Factual,Flood,1980,54.278442146394305,4.826026810063688,45.697096521056764,58.89441970133613,51.686896063941646,57.57180440185092
obsclim-histsoc,Factual,Flood,1985,52.67066855345599,5.307970800986936,43.89223123201674,58.31805082525544,49.55641679931731,56.42065338965075
obsclim-histsoc,Factual,Flood,1990,55.24505869006187,4.945647567712025,48.20821344493853,62.10720887245841,52.17141523978534,58.04008830263387
