Basin_Name,Event_Type,Mean_Delta_Total_mean,Mean_Delta_Total_std,Mean_Delta_Total_q25,Mean_Delta_Total_q75,Mean_Delta_CC_mean,Mean_Delta_CC_std,Mean_Delta_CC_q25,Mean_Delta_CC_q75,Mean_Delta_HA_mean,Mean_Delta_HA_std,Mean_Delta_HA_q25,Mean_Delta_HA_q75,Mean_Abs_Delta_CC_mean,Mean_Abs_Delta_CC_std,Mean_Abs_Delta_CC_q25,Mean_Abs_Delta_CC_q75,Mean_Abs_Delta_HA_mean,Mean_Abs_Delta_HA_std,Mean_Abs_Delta_HA_q25,Mean_Abs_Delta_HA_q75,DIndex_mean,DIndex_std,DIndex_q25,DIndex_q75,Model_Count,Pooled_DIndex,Climate_Dominant_Model_Count,Human_Dominant_Model_Count,Equal_Model_Count
CSL,Drought,0.44442780576122215,0.7647633627375577,0.1115127511885858,0.2717034447768617,0.3182310330744006,0.5740891924144881,0.05094319679399418,0.20866266841824951,0.12619677268682158,0.20992910494091035,-0.0023531995720405437,0.15318170619500654,0.6647692210715033,0.6759132529220506,0.291020671499164,0.6564401324963447,0.24586865423136123,0.2394101956817725,0.11002903424621335,0.2383118503180255,0.704109033437967,0.13720857111072424,0.640964930567604,0.7929218041776419,7,0.7300039226354504,6,1,0
CSL,Flood,-0.09284249786603911,0.20378178268148975,-0.0821857036234917,0.007181265665093742,-0.0840513806395928,0.18002274300352547,-0.07533133929867528,0.01758245108515013,-0.008791117226446309,0.03687192082259038,-0.03457881727978655,0.017093512004828497,0.24604466020715288,0.20712994758851702,0.13450254733880251,0.24579389048972317,0.09204730346315883,0.05461296173179032,0.061414873342278326,0.11098711372655237,0.7093110974064519,0.10408547038052017,0.6480766178016142,0.7839510886741192,7,0.7277447755223245,7,0,0
PSE,Drought,-0.011668027906072059,0.04233718655214187,-0.040697103030865094,0.011413048524077733,-0.015647088880547715,0.03073383355239456,-0.03173242715461049,0.005171732138906709,0.003979060974475651,0.023689819074170892,-0.013216495912884298,0.02304012169552727,0.12325934469450643,0.01868260407227604,0.11165113705929376,0.13206267186476323,0.0635061342643061,0.04196586769810181,0.03310352836702876,0.08161111224562057,0.684252877992531,0.1530732742067343,0.5757611081352688,0.7829677854659334,7,0.6599685626147693,7,0,0
PSE,Flood,0.0027153061957231575,0.009231662784867775,-0.003130159055726005,0.00892896365015256,0.0020458560199540766,0.003929215120154355,0.0011597282717502387,0.00437280053703217,0.0006694501757690803,0.009310601523795887,-0.0019478791084656503,0.0055204363745267465,0.06218889583164657,0.01611429331892205,0.052052822425611905,0.06686248295445438,0.034296088206868504,0.029128805147978328,0.015709573484012973,0.038314369149106506,0.6886709732079458,0.13555811658796468,0.6175125469346292,0.7820381495242243,7,0.6445448113130421,7,0,0
SWRB,Drought,0.6409949989830779,1.1317391393693355,0.1816527084141618,0.2916603722794991,0.640561407833249,1.1329691884141944,0.16781149353528413,0.2906150201383368,0.00043359114982887206,0.01466338354277816,-0.0021536300189024535,0.004636982088298033,0.7020656139773027,1.1318632470581977,0.24260667560254162,0.3281340724248394,0.04620251142045677,0.032482124187739735,0.02057637501858845,0.07477508717383817,0.886638742226815,0.09453840122898405,0.8295858585097833,0.9597187514019299,7,0.9382540698283831,7,0,0
SWRB,Flood,-0.1230956320352464,0.11841286218380916,-0.14289682032921286,-0.057985327545048614,-0.11896935446802569,0.11622156316880483,-0.14450824191683537,-0.054007760127164836,-0.004126277567220717,0.010679639448617915,-0.010152301498202388,0.00190093556529089,0.18769385394253907,0.11663536229870382,0.11877046716385535,0.20560663205516305,0.035652946493895464,0.02629235716720142,0.01562085510546636,0.05588325744752254,0.8340746055548661,0.11250429155889281,0.7787286914599019,0.9073129628612135,7,0.840369566860921,7,0,0
YHH,Drought,0.11681592635038553,0.16952081666652258,0.026741084568754864,0.1934388053071694,-0.014402797155652463,0.08211702455060219,-0.08039829004497134,0.018586637281518742,0.131218723506038,0.10834330670762114,0.0546621431982105,0.20855700412250494,0.26775359295902734,0.13259091282264712,0.161743814907246,0.3703881494114576,0.27747346699873415,0.18397935475061664,0.1349185356826387,0.4442339679956401,0.5362484739898947,0.15327835109718357,0.4517483841536204,0.5714171686130809,7,0.49108639798576775,4,3,0
YHH,Flood,0.01683764970107533,0.016597932876156896,0.007816774651260756,0.0231106314319399,0.0056246112061578545,0.011330912673353398,0.0016755743417902812,0.010057824957764323,0.011213038494917475,0.016319154876929705,-0.0012578308018049427,0.023946795654290778,0.10241348266810714,0.02953660853767453,0.08650723508995611,0.11221721252576797,0.09099140240319127,0.04560824564706292,0.06647751174080124,0.12250078980498402,0.5581788217781972,0.12090618306885834,0.48391770967684156,0.5920292493064654,7,0.5295289342373776,5,2,0
YZR,Drought,0.019432886826496003,0.0751354589981343,-0.023685503459814038,0.028030717423500738,0.03151872076339843,0.06683201558044675,0.005061828331159059,0.036499750654876345,-0.012085833936902416,0.020838551273813562,-0.026653524410892505,0.002406087109344294,0.16897221629794817,0.07319846394123038,0.12767566319766407,0.16435094442174042,0.07070868126466658,0.04296767801897893,0.0405775110734424,0.10140252656883805,0.7133080851018123,0.13778390441903657,0.6688004264828327,0.7783740899899451,7,0.7049882490272531,6,1,0
YZR,Flood,-0.005913898192324982,0.022503560663533536,-0.011279732590418437,0.006295098066860469,-0.015574135151244858,0.02838681425032306,-0.019578957747483958,0.0002685452098328553,0.00966023695891988,0.00901486193396828,0.004122912235045406,0.014194372875312304,0.08859804178257946,0.0344204640853011,0.07004610968790734,0.08838270893433825,0.035360100854390765,0.017968566648200086,0.02144224596258822,0.04816915055385003,0.7221638228080833,0.1045398889428156,0.6769495513131849,0.7913409405767782,7,0.7147416046887048,7,0,0
