Grid_ID,Lon,Lat,Event_Type,Delta_Total_mean_ScenarioSpecific,Delta_HA_mean_ScenarioSpecific,Delta_CC_mean_ScenarioSpecific,Delta_Total_mean_CommonReference,Delta_HA_mean_CommonReference,Delta_CC_mean_CommonReference
355,121.25,53.25,Drought,-0.2646518266466763,-0.0082157311877389,-0.2564360954589373,-0.3425777340565714,-0.0115173645559906,-0.3310603695005807
356,121.75,53.25,Drought,-0.3583507307638588,0.0076473746321163,-0.3659981053959751,-0.3117901277953929,-0.0003147086601252,-0.3114754191352677
357,122.25,53.25,Drought,-0.2374850252037087,-0.0227953060159177,-0.214689719187791,-0.2249201915309906,-0.0008768124810149,-0.2240433790499757
358,122.75,53.25,Drought,-0.2916399536946081,0.0036297166731949,-0.295269670367803,-0.2263801001737502,-0.0241680950914084,-0.2022120050823418
359,123.25,53.25,Drought,-0.3210468484055935,0.0236299197490304,-0.3446767681546239,-0.1632949886760532,0.0192519628824367,-0.1825469515584899
360,123.75,53.25,Drought,-0.2613731274700782,-0.0225369263052444,-0.2388362011648337,-0.2454486879660412,-0.009281299307921,-0.2361673886581201
361,124.25,53.25,Drought,-0.3802939149233365,-0.0224013906277566,-0.3578925242955798,-0.298304452112422,0.0023067305173586,-0.3006111826297807
481,120.25,52.75,Drought,-0.122886788716676,0.0206007854848555,-0.1434875742015315,-0.2317984278084492,0.0117961245865366,-0.2435945523949858
482,120.75,52.75,Drought,-0.2581488614551913,0.0035023551572296,-0.2616512166124209,-0.276800025429636,-0.0080910905917597,-0.2687089348378762
483,121.25,52.75,Drought,-0.309576870672434,-0.0311737249459144,-0.2784031457265196,-0.3209341552851306,0.0015670961166425,-0.3225012514017731
484,121.75,52.75,Drought,-0.4062205540297253,-0.0040815625080207,-0.4021389915217046,-0.3965174600903643,-0.0097109780198834,-0.3868064820704809
485,122.25,52.75,Drought,-0.2653248427329551,-0.0143927806390972,-0.2509320620938578,-0.2656891183370844,-0.0195954954982366,-0.2460936228388477
486,122.75,52.75,Drought,-0.2478768675323657,0.0133697722559374,-0.2612466397883031,-0.3420445420513736,0.0198811145994799,-0.3619256566508536
487,123.25,52.75,Drought,-0.3558209060129892,0.0273477795580925,-0.3831686855710818,-0.2602440278496096,-0.0054257590023307,-0.2548182688472789
488,123.75,52.75,Drought,-0.3162259035198836,-0.021771792841233,-0.2944541106786506,-0.2571339915358596,-0.0361512249607848,-0.2209827665750747
489,124.25,52.75,Drought,-0.4445410197851873,0.0279881361366505,-0.4725291559218378,-0.3738139851020443,-0.0176597133332563,-0.356154271768788
490,124.75,52.75,Drought,-0.1796572808090972,-0.0014908413724084,-0.1781664394366887,-0.2456973971778225,0.0130781616471594,-0.258775558824982
491,125.25,52.75,Drought,-0.4312183764666852,0.0066985622365037,-0.4379169387031889,-0.2839239727245056,0.007546924930324,-0.2914708976548297
492,125.75,52.75,Drought,-0.3182766818616654,0.0258231977185848,-0.3440998795802503,-0.1605843246674118,0.0196878158875353,-0.1802721405549472
611,121.25,52.25,Drought,-0.4200476528160557,-0.0200383176593786,-0.4000093351566771,-0.2862708052914611,-0.0117088270893741,-0.274561978202087
612,121.75,52.25,Drought,-0.1860395959802172,0.001541914526065,-0.1875815105062823,-0.3000865262849823,-0.0024692976648545,-0.2976172286201277
613,122.25,52.25,Drought,-0.2274650082095513,-0.0050080118653111,-0.2224569963442401,-0.2804760367669195,0.0034765803144741,-0.2839526170813937
614,122.75,52.25,Drought,-0.2602345371950172,-0.0338897479356644,-0.2263447892593527,-0.302896198016143,-0.0060178428329788,-0.2968783551831641
615,123.25,52.25,Drought,-0.3696357166536099,-0.0080544775305504,-0.3615812391230594,-0.3257754407122179,0.0070245246595598,-0.3327999653717777
616,123.75,52.25,Drought,-0.2990137979354771,-0.01054900644015,-0.2884647914953271,-0.3479651946252049,0.0151411177401467,-0.3631063123653517
617,124.25,52.25,Drought,-0.194122889859594,0.0076809453743819,-0.201803835233976,-0.3332279703340005,0.0156648120867989,-0.3488927824207994
618,124.75,52.25,Drought,-0.2678710143987329,-0.0099671150894427,-0.2579038993092901,-0.274373206115561,0.0093968485671462,-0.2837700546827073
619,125.25,52.25,Drought,-0.3507287443329619,-0.0256956997736457,-0.3250330445593162,-0.272961230946077,0.0046031636395599,-0.277564394585637
