Scenario,Scenario_Label,Model,Event_Type,Split_Year,Percent_RR_GT_1
countclim-1901soc,Natural,h08,Drought,1980,47.31885953439707
countclim-1901soc,Natural,h08,Drought,1985,43.63065655244572
countclim-1901soc,Natural,h08,Drought,1990,53.099659952916554
countclim-1901soc,Natural,h08,Flood,1980,41.564216583834686
countclim-1901soc,Natural,h08,Flood,1985,37.614438922312324
countclim-1901soc,Natural,h08,Flood,1990,41.95657860319121
countclim-1901soc,Natural,hydropy,Drought,1980,33.11501178936337
countclim-1901soc,Natural,hydropy,Drought,1985,31.621692428608856
countclim-1901soc,Natural,hydropy,Drought,1990,34.21535237097197
countclim-1901soc,Natural,hydropy,Flood,1980,48.23159549384333
countclim-1901soc,Natural,hydropy,Flood,1985,44.930573749017555
countclim-1901soc,Natural,hydropy,Flood,1990,46.528687450877655
countclim-1901soc,Natural,jules-w2,Drought,1980,48.010532475131654
countclim-1901soc,Natural,jules-w2,Drought,1985,46.37214745465184
countclim-1901soc,Natural,jules-w2,Drought,1990,45.9918080748976
countclim-1901soc,Natural,jules-w2,Flood,1980,42.100643651258046
countclim-1901soc,Natural,jules-w2,Flood,1985,40.57928613224108
countclim-1901soc,Natural,jules-w2,Flood,1990,44.177881802223524
countclim-1901soc,Natural,lpjml5-7-10-fire,Drought,1980,46.138415245737214
countclim-1901soc,Natural,lpjml5-7-10-fire,Drought,1985,44.73420260782347
countclim-1901soc,Natural,lpjml5-7-10-fire,Drought,1990,42.69475091942494
countclim-1901soc,Natural,lpjml5-7-10-fire,Flood,1980,46.40588431962554
countclim-1901soc,Natural,lpjml5-7-10-fire,Flood,1985,44.26613172851889
countclim-1901soc,Natural,lpjml5-7-10-fire,Flood,1990,48.51220327649616
countclim-1901soc,Natural,miroc-integ-land,Drought,1980,37.954486005754646
countclim-1901soc,Natural,miroc-integ-land,Drought,1985,36.09730578080042
countclim-1901soc,Natural,miroc-integ-land,Drought,1990,41.302641904263666
countclim-1901soc,Natural,miroc-integ-land,Flood,1980,44.572325398901384
countclim-1901soc,Natural,miroc-integ-land,Flood,1985,41.35495684017787
countclim-1901soc,Natural,miroc-integ-land,Flood,1990,46.324875752027204
countclim-1901soc,Natural,watergap2-2e,Drought,1980,38.262476894639555
countclim-1901soc,Natural,watergap2-2e,Drought,1985,36.625297068919984
countclim-1901soc,Natural,watergap2-2e,Drought,1990,37.15341959334565
countclim-1901soc,Natural,watergap2-2e,Flood,1980,45.99947187747557
countclim-1901soc,Natural,watergap2-2e,Flood,1985,45.62978611037761
countclim-1901soc,Natural,watergap2-2e,Flood,1990,48.402429363612356
countclim-1901soc,Natural,web-dhm-sg,Drought,1980,52.11602472658108
countclim-1901soc,Natural,web-dhm-sg,Drought,1985,48.597242035187826
countclim-1901soc,Natural,web-dhm-sg,Drought,1990,45.6490727532097
countclim-1901soc,Natural,web-dhm-sg,Flood,1980,47.3133618640038
countclim-1901soc,Natural,web-dhm-sg,Flood,1985,43.604374702805515
countclim-1901soc,Natural,web-dhm-sg,Flood,1990,46.69519733713742
countclim-histsoc,Historical,h08,Drought,1980,51.19016479204813
countclim-histsoc,Historical,h08,Drought,1985,49.35914203505101
countclim-histsoc,Historical,h08,Drought,1990,55.42767460109861
countclim-histsoc,Historical,h08,Flood,1980,43.866073764059635
countclim-histsoc,Historical,h08,Flood,1985,40.72717760920742
countclim-histsoc,Historical,h08,Flood,1990,43.81375882814544
countclim-histsoc,Historical,hydropy,Drought,1980,40.241026984542835
countclim-histsoc,Historical,hydropy,Drought,1985,38.77390620906471
countclim-histsoc,Historical,hydropy,Drought,1990,39.376473670421795
countclim-histsoc,Historical,hydropy,Flood,1980,46.2667015981137
countclim-histsoc,Historical,hydropy,Flood,1985,43.12287136494629
countclim-histsoc,Historical,hydropy,Flood,1990,44.95677233429395
countclim-histsoc,Historical,jules-w2,Drought,1980,47.80573434757168
countclim-histsoc,Historical,jules-w2,Drought,1985,46.43066120538327
countclim-histsoc,Historical,jules-w2,Drought,1990,46.19660620245758
countclim-histsoc,Historical,jules-w2,Flood,1980,41.92510239906378
countclim-histsoc,Historical,jules-w2,Flood,1985,40.60854300760679
countclim-histsoc,Historical,jules-w2,Flood,1990,44.616734932709186
countclim-histsoc,Historical,lpjml5-7-10-fire,Drought,1980,45.001671681711805
countclim-histsoc,Historical,lpjml5-7-10-fire,Drought,1985,45.20227348712805
countclim-histsoc,Historical,lpjml5-7-10-fire,Drought,1990,42.59445001671682
countclim-histsoc,Historical,lpjml5-7-10-fire,Flood,1980,48.41190237378803
countclim-histsoc,Historical,lpjml5-7-10-fire,Flood,1985,47.275158809762615
countclim-histsoc,Historical,lpjml5-7-10-fire,Flood,1990,48.946840521564695
countclim-histsoc,Historical,miroc-integ-land,Drought,1980,37.77138373005493
countclim-histsoc,Historical,miroc-integ-land,Drought,1985,37.03897462725608
countclim-histsoc,Historical,miroc-integ-land,Drought,1990,40.41328799372221
countclim-histsoc,Historical,miroc-integ-land,Flood,1980,45.801726392885165
countclim-histsoc,Historical,miroc-integ-land,Flood,1985,42.74130264190427
countclim-histsoc,Historical,miroc-integ-land,Flood,1990,44.127648443630655
countclim-histsoc,Historical,watergap2-2e,Drought,1980,35.56905202006865
countclim-histsoc,Historical,watergap2-2e,Drought,1985,34.82968048587272
countclim-histsoc,Historical,watergap2-2e,Drought,1990,34.856086612094
countclim-histsoc,Historical,watergap2-2e,Flood,1980,44.652759440190124
countclim-histsoc,Historical,watergap2-2e,Flood,1985,44.17744916820702
countclim-histsoc,Historical,watergap2-2e,Flood,1990,45.49775547927119
countclim-histsoc,Historical,web-dhm-sg,Drought,1980,51.497860199714694
countclim-histsoc,Historical,web-dhm-sg,Drought,1985,49.78601997146933
countclim-histsoc,Historical,web-dhm-sg,Drought,1990,46.98050404184498
countclim-histsoc,Historical,web-dhm-sg,Flood,1980,48.264384213029004
countclim-histsoc,Historical,web-dhm-sg,Flood,1985,44.84070375653828
countclim-histsoc,Historical,web-dhm-sg,Flood,1990,47.40846409890632
obsclim-histsoc,Factual,h08,Drought,1980,53.099659952916554
obsclim-histsoc,Factual,h08,Drought,1985,52.2364635103322
obsclim-histsoc,Factual,h08,Drought,1990,53.57049437614438
obsclim-histsoc,Factual,h08,Flood,1980,45.697096521056764
obsclim-histsoc,Factual,h08,Flood,1985,43.89223123201674
obsclim-histsoc,Factual,h08,Flood,1990,48.20821344493853
obsclim-histsoc,Factual,hydropy,Drought,1980,41.78674351585015
obsclim-histsoc,Factual,hydropy,Drought,1985,41.36756615142782
obsclim-histsoc,Factual,hydropy,Drought,1990,41.65575058946817
obsclim-histsoc,Factual,hydropy,Flood,1980,58.89441970133613
obsclim-histsoc,Factual,hydropy,Flood,1985,58.31805082525544
obsclim-histsoc,Factual,hydropy,Flood,1990,59.81137018600996
obsclim-histsoc,Factual,jules-w2,Drought,1980,36.92217671152721
obsclim-histsoc,Factual,jules-w2,Drought,1985,34.34757167934465
obsclim-histsoc,Factual,jules-w2,Drought,1990,33.67466354593329
obsclim-histsoc,Factual,jules-w2,Flood,1980,52.77940315974254
obsclim-histsoc,Factual,jules-w2,Flood,1985,50.84844938560562
obsclim-histsoc,Factual,jules-w2,Flood,1990,54.27150380339379
