Scenario,Scenario_Label,Event_Type,Split_Year,mean,std,min,max,q25,q75
countclim-1901soc,Natural,Drought,1980,43.27368666737208,6.85321747130024,33.11501178936337,52.11602472658108,38.108481450197104,47.664696004764366
countclim-1901soc,Natural,Drought,1985,41.09693484691973,6.304812877515377,31.621692428608856,48.597242035187826,36.3613014248602,45.55317503123766
countclim-1901soc,Natural,Drought,1990,42.872386509861435,6.220723091374043,34.21535237097197,53.099659952916554,39.228030748804656,45.82044041405365
countclim-1901soc,Natural,Flood,1980,45.16964274127748,2.5482882218665903,41.564216583834686,48.23159549384333,43.33648452507971,46.85962309181467
countclim-1901soc,Natural,Flood,1985,42.568506883635834,2.8541850823115555,37.614438922312324,45.62978611037761,40.96712148620948,44.59835273876823
countclim-1901soc,Natural,Flood,1990,46.08540765508079,2.329860375220413,41.95657860319121,48.51220327649616,45.25137877712537,47.548813350374886
countclim-histsoc,Historical,Drought,1980,44.15384196510182,6.419294984022619,35.56905202006865,51.497860199714694,39.00620535729888,49.497949569809904
countclim-histsoc,Historical,Drought,1985,43.06009400303217,6.099600170723852,34.82968048587272,49.78601997146933,37.9064404181604,47.89490162021714
countclim-histsoc,Historical,Drought,1990,43.69215473405086,6.626525868603983,34.856086612094,55.42767460109861,39.894880832072005,46.58855512215128
countclim-histsoc,Historical,Flood,1980,45.598378597304205,2.3416355252059007,41.92510239906378,48.41190237378803,44.25941660212488,47.26554290557135
countclim-histsoc,Historical,Flood,1985,43.35617233688181,2.3498353998660364,40.60854300760679,47.275158809762615,41.73424012555584,44.50907646237265
countclim-histsoc,Historical,Flood,1990,45.623996376931636,1.8804846753410085,43.81375882814544,48.946840521564695,44.37219168816992,46.45310978908876
obsclim-histsoc,Factual,Drought,1980,42.48737416754153,6.34674238675913,36.92217671152721,53.099659952916554,37.37172082777508,45.47729948022655
obsclim-histsoc,Factual,Drought,1985,41.559345091808495,6.2430522909127735,34.34757167934465,52.2364635103322,37.31555168876606,44.221586214087665
obsclim-histsoc,Factual,Drought,1990,41.434160962568875,6.677303202424757,33.67466354593329,53.57049437614438,37.370850523850436,44.03282061094902
obsclim-histsoc,Factual,Flood,1980,54.278442146394305,4.826026810063688,45.697096521056764,58.89441970133613,51.686896063941646,57.57180440185092
obsclim-histsoc,Factual,Flood,1985,52.67066855345599,5.307970800986936,43.89223123201674,58.31805082525544,49.55641679931731,56.42065338965075
obsclim-histsoc,Factual,Flood,1990,55.24505869006187,4.945647567712025,48.20821344493853,62.10720887245841,52.17141523978534,58.04008830263387
