Model,Event_Type,Basin_Name,Mean_Delta_Total,Mean_Delta_CC,Mean_Delta_HA,Mean_Abs_Delta_CC,Mean_Abs_Delta_HA,DIndex,Residual,Valid_Grid_Count
h08,Drought,CSL,1.5802637130097903,0.3813352674694915,1.1989284455402989,2.667350928606563,1.6753183265355278,0.614219221380535,0.0,1987
h08,Drought,PSE,0.04238296758741427,-0.0007428482625811854,0.04312581584999546,0.1361160225793793,0.09960615657501519,0.5774425769678014,-6.938893903907228e-18,271
h08,Drought,SWRB,0.21019665573590088,0.20061427820269773,0.009582377533203177,0.4712801710193858,0.04192160964909593,0.9183135927656173,-2.6020852139652106e-17,314
h08,Drought,YHH,-0.09052005188591275,-1.1629531583410855,1.0724331064551729,1.409224716850876,1.57379005272474,0.47241627202917336,-2.220446049250313e-16,576
h08,Drought,YZR,-0.0239332052489549,-0.018788835595461618,-0.005144369653493274,0.2877385829589174,0.11736222129730316,0.7102888464692526,-9.540979117872439e-18,675
h08,Flood,CSL,-0.027222360001215022,-0.09380775240144018,0.06658539240022512,0.756697212516891,0.29156931535847924,0.7218557422133541,2.7755575615628914e-17,1987
h08,Flood,PSE,0.02400442136017866,0.009972328673323098,0.014032092686855565,0.08811914825996761,0.04725790246036317,0.6509164425660956,-3.469446951953614e-18,271
h08,Flood,SWRB,0.17052910942277755,0.16900608139634227,0.0015230280264352863,0.3153862301906957,0.01804148294777011,0.945890871583677,-6.071532165918825e-18,314
h08,Flood,YHH,-0.12713963067860323,-0.1101361124043717,-0.017003518274231525,0.2716494929204881,0.21148984998590217,0.5622591016627703,-1.0408340855860843e-17,576
h08,Flood,YZR,0.09475959025161111,0.06171649935697502,0.033043090894636085,0.18845235347594916,0.06501141997217746,0.7435080402703679,6.938893903907228e-18,675
hydropy,Drought,CSL,0.32692731308794315,0.0362609912637614,0.2906663218241818,0.3589645798906368,0.3382718906339638,0.5148390755012455,-5.551115123125783e-17,1986
hydropy,Drought,PSE,0.040075895034831915,0.029304216051512063,0.010771678983319854,0.12248630089175938,0.04381937793140813,0.7365130388722252,-1.734723475976807e-18,271
hydropy,Drought,SWRB,0.3544921458770631,0.34775449024142696,0.006737655635636148,0.37010905885481593,0.016630105636446926,0.956999168526614,1.5612511283791264e-17,312
hydropy,Drought,YHH,0.08205569073257907,0.03801761810313461,0.04403807262944446,0.18424105021345755,0.29739748167469027,0.38252971474517394,0.0,576
hydropy,Drought,YZR,0.054658273021949436,0.04267966535189782,0.011978607670051619,0.17361927679212275,0.042961545903661705,0.8016373501175277,-5.204170427930421e-18,672
hydropy,Flood,CSL,0.1791950484095585,0.1858372558156017,-0.006642207406043218,0.27906875013681887,0.03997411012311683,0.8747061442135127,7.806255641895632e-18,1986
hydropy,Flood,PSE,-0.0015335676614926831,-0.002185674228680272,0.0006521065671875885,0.06908545987154416,0.01778184069144191,0.7952987997071627,4.336808689942018e-19,271
hydropy,Flood,SWRB,0.16284232838000834,0.16277721467313944,6.511370686892587e-05,0.2225746146468785,0.005887523645049774,0.9742297621432279,-2.359494977871579e-17,312
hydropy,Flood,YHH,-0.007037944727177769,0.03025562470481797,-0.037293569431995736,0.1080128006355221,0.08002657232051545,0.5744158733223111,0.0,576
hydropy,Flood,YZR,0.044907995670011226,0.04647816623743388,-0.0015701705674226484,0.10637670114374143,0.019300804727261943,0.8464259407958614,-4.7704895589362195e-18,672
jules-w2,Drought,CSL,-0.09403439849302239,-0.09851420205941683,0.004479803566394443,0.9228901040397813,0.05201002073119773,0.9466509241206469,-6.938893903907228e-18,1586
jules-w2,Drought,PSE,-0.021414030446244323,-0.021440282888899702,2.625244265537267e-05,0.1217835875307495,0.007605715187166579,0.9412183617393168,5.875020522155827e-18,271
jules-w2,Drought,SWRB,0.17726323438836158,0.1791867908040321,-0.001923556415670536,0.2933583669642922,0.020680168654324108,0.934147671993226,1.734723475976807e-17,314
jules-w2,Drought,YHH,-0.08172249846901675,-0.08117421110627004,-0.0005482873627466897,0.13354336557362617,0.020696175250219603,0.8658179663938682,-1.2468324983583301e-17,572
jules-w2,Drought,YZR,-0.03544925313928535,-0.03614008539269128,0.0006908322534059365,0.16135456436208304,0.012614983498017335,0.9274874042429435,-5.9631119486702744e-18,675
jules-w2,Flood,CSL,0.032029042598772886,0.031059416992588677,0.0009696256061842071,0.21857676582808835,0.02144917604781077,0.9106380923654467,1.6263032587282567e-18,1586
jules-w2,Flood,PSE,-0.006698717585706931,-0.006701881536436993,3.1639507300618418e-06,0.06558997970907265,0.005834659500733711,0.9183102698832726,1.469602163486211e-19,271
jules-w2,Flood,SWRB,0.2175050969211277,0.21690135490950666,0.0006037420116210812,0.26735523525148913,0.016952482849628067,0.940372765949327,-2.5478751053409354e-17,314
jules-w2,Flood,YHH,0.04936209285596551,0.05054935253320927,-0.0011872596772437567,0.08306709237160477,0.011614535607806217,0.8773306304964268,-4.336808689942018e-19,572
jules-w2,Flood,YZR,0.054018953055713706,0.05447367715229882,-0.0004547240965851205,0.11363498058096301,0.009515396282042888,0.9227335187725172,8.944667923005412e-18,675
lpjml5-7-10-fire,Drought,CSL,0.018209546499826257,0.00047553530458785545,0.0177340111952384,0.20300600607019553,0.20566052688307276,0.49675221653985946,3.469446951953614e-18,1385
lpjml5-7-10-fire,Drought,PSE,-0.038988679394487344,-0.024335346297006323,-0.014653333097481023,0.11174952814966738,0.06559764583721023,0.6301173322216909,1.734723475976807e-18,271
lpjml5-7-10-fire,Drought,SWRB,0.20004089772891234,0.17457979545856858,0.02546110227034374,0.2384561789217209,0.09140488892787527,0.7228988266976922,2.0816681711721685e-17,194
lpjml5-7-10-fire,Drought,YHH,0.05974679090791481,-0.03546923481785757,0.09521602572577237,0.1573492840977477,0.25479256334638173,0.3817842936201188,0.0,547
lpjml5-7-10-fire,Drought,YZR,-0.05321854408893066,-0.0025589083961746048,-0.05065963569275607,0.12442915122734431,0.13304775325478038,0.4832633492996759,1.3877787807814457e-17,594
lpjml5-7-10-fire,Flood,CSL,0.07112110624715613,0.07261700882899225,-0.0014959025818361018,0.14147682462574238,0.11715275809254132,0.5470249116082294,-1.2576745200831851e-17,1385
lpjml5-7-10-fire,Flood,PSE,0.006981891120517435,0.006748024852599247,0.00023386626791818712,0.06755302950850463,0.03973149546959754,0.6296623816183449,6.2341624917916505e-19,271
lpjml5-7-10-fire,Flood,SWRB,0.11028093365685333,0.07212543457605743,0.03815549908079591,0.1392095402280385,0.0671978381488366,0.6744407168132264,0.0,194
lpjml5-7-10-fire,Flood,YHH,0.03447314971766264,0.012027020174957636,0.022446129542705008,0.09424645361991149,0.13341058826031635,0.41398435489421537,-6.938893903907228e-18,547
lpjml5-7-10-fire,Flood,YZR,0.03318762851832529,0.02103762520056781,0.012150003317757478,0.09711774310641579,0.08042362798201401,0.5470147183781936,1.734723475976807e-18,594
miroc-integ-land,Drought,CSL,0.09324181281883683,0.13347101158578079,-0.04022919876694398,0.5152665718893918,0.11369762296683786,0.8192303728945538,2.0816681711721685e-17,1987
miroc-integ-land,Drought,PSE,0.02215391669994919,0.0471566224142183,-0.025002705714269116,0.1890475881001715,0.17352413884907575,0.5214074183082521,6.938893903907228e-18,271
miroc-integ-land,Drought,SWRB,3.0377654129594833,3.016210970542205,0.02155444241727871,3.3613892309195563,0.12790002220513202,0.9633449642815951,-2.706168622523819e-16,314
miroc-integ-land,Drought,YHH,0.10524623479394431,-0.03550008197599347,0.14074631676993773,0.3384977032909128,0.3815739651593547,0.4700889065937351,2.7755575615628914e-17,576
miroc-integ-land,Drought,YZR,0.11358964756270658,0.08475590564851486,0.02883374191419172,0.37911175071481146,0.1443997815522365,0.7241707724624167,0.0,675
miroc-integ-land,Flood,CSL,0.007484713996877132,0.007588485936924629,-0.00010377194004749333,0.2728904782544627,0.07014010873615834,0.7955281208259248,-3.876022766635678e-18,1987
miroc-integ-land,Flood,PSE,-0.0344678123331541,0.007024594796524208,-0.04149240712967831,0.11172874241196706,0.14278623578613986,0.4389869044367232,0.0,271
