Family,Event_Type,Definition,Model,Basin_Name,Mean_Abs_Delta_CC,Mean_Abs_Delta_HA,DIndex,Valid_Grid_Count
Event_Definition,Drought,T05_D10,h08,CSL,2.2678843346502453,0.7484192580089692,0.7518753550437034,1987
Event_Definition,Drought,T05_D10,h08,PSE,0.10010588184955123,0.07318736060575312,0.5776675445112665,271
Event_Definition,Drought,T05_D10,h08,SWRB,0.27371836960788387,0.013281784487218696,0.9537220301184315,314
Event_Definition,Drought,T05_D10,h08,YHH,0.4382029375798425,0.4352848591605189,0.501670360152834,576
Event_Definition,Drought,T05_D10,h08,YZR,0.13764483233376948,0.06467303555078083,0.6803394765523847,675
Event_Definition,Drought,T05_D10,hydropy,CSL,0.3101674780003098,0.1697443981570166,0.6463009010817428,1985
Event_Definition,Drought,T05_D10,hydropy,PSE,0.08837657992853085,0.027432515814414866,0.7631229599158159,271
Event_Definition,Drought,T05_D10,hydropy,SWRB,0.2331621862957539,0.009090271058246812,0.9624760419046512,312
Event_Definition,Drought,T05_D10,hydropy,YHH,0.14819990359652968,0.11862644731716071,0.5554170459141328,576
Event_Definition,Drought,T05_D10,hydropy,YZR,0.11736846053215244,0.026011272160993297,0.8185847352870901,672
Event_Definition,Drought,T05_D10,jules-w2,CSL,0.8445359465215327,0.0469548336381932,0.9473299840187013,1475
Event_Definition,Drought,T05_D10,jules-w2,PSE,0.10781196525985484,0.008399591388194795,0.9277215482653484,271
Event_Definition,Drought,T05_D10,jules-w2,SWRB,0.251288206351594,0.0200004691081821,0.9262760634063122,314
Event_Definition,Drought,T05_D10,jules-w2,YHH,0.10635154983237613,0.01988087748647642,0.842505781527444,568
Event_Definition,Drought,T05_D10,jules-w2,YZR,0.12912418976969237,0.012558291409769027,0.9113631318055326,675
Event_Definition,Drought,T05_D10,lpjml5-7-10-fire,CSL,0.18502151017246637,0.17673420906901638,0.5114542779321175,1208
Event_Definition,Drought,T05_D10,lpjml5-7-10-fire,PSE,0.07262564056875995,0.05201035412150204,0.582701977460403,271
Event_Definition,Drought,T05_D10,lpjml5-7-10-fire,SWRB,0.20539170175321458,0.06664652773257308,0.7550104341637948,176
Event_Definition,Drought,T05_D10,lpjml5-7-10-fire,YHH,0.11607268052027434,0.2185288998169751,0.34689818381396503,543
Event_Definition,Drought,T05_D10,lpjml5-7-10-fire,YZR,0.10088037102131793,0.10576586216652438,0.4881790946056938,589
Event_Definition,Drought,T05_D10,miroc-integ-land,CSL,0.29278778339833517,0.05529211214418,0.8411510895853319,1987
Event_Definition,Drought,T05_D10,miroc-integ-land,PSE,0.1217831953655219,0.11148768982151788,0.5220677036822425,271
Event_Definition,Drought,T05_D10,miroc-integ-land,SWRB,2.1882908520583952,0.07744112099881269,0.9658207052203446,314
Event_Definition,Drought,T05_D10,miroc-integ-land,YHH,0.18471257897453386,0.21374135570854383,0.4635732336824596,576
Event_Definition,Drought,T05_D10,miroc-integ-land,YZR,0.23014857610656472,0.08854643464707544,0.7221593320909432,675
Event_Definition,Drought,T05_D10,watergap2-2e,CSL,0.2962444458072519,0.1594501759843744,0.650094233376128,1946
Event_Definition,Drought,T05_D10,watergap2-2e,PSE,0.08035104309173202,0.05682733343534526,0.5857413181724872,271
Event_Definition,Drought,T05_D10,watergap2-2e,SWRB,0.21576409200888252,0.021109728307054407,0.9108819696541445,314
Event_Definition,Drought,T05_D10,watergap2-2e,YHH,0.33040482240043473,0.4627612611151829,0.41656448664062046,575
Event_Definition,Drought,T05_D10,watergap2-2e,YZR,0.10865262173370832,0.04123738724059632,0.724882348578246,675
Event_Definition,Drought,T05_D10,web-dhm-sg,CSL,0.1683358586146315,0.08758432360271735,0.6577670317211113,647
Event_Definition,Drought,T05_D10,web-dhm-sg,PSE,0.09874613092072042,0.025548049903851403,0.7944549798360248,239
Event_Definition,Drought,T05_D10,web-dhm-sg,SWRB,0.16276115481378575,0.0457060562870769,0.7807518216139855,133
Event_Definition,Drought,T05_D10,web-dhm-sg,YHH,0.1312854333777977,0.08227347121640635,0.6147504531701028,292
Event_Definition,Drought,T05_D10,web-dhm-sg,YZR,0.09686329433814024,0.04105319926850789,0.7023329248378676,532
Event_Definition,Drought,T05_D20,h08,CSL,2.1235628376051956,0.7694504859802919,0.7340314751725149,1987
Event_Definition,Drought,T05_D20,h08,PSE,0.11972340728391122,0.08842829422202748,0.5751738103399334,271
Event_Definition,Drought,T05_D20,h08,SWRB,0.3411351803546524,0.016457339810693274,0.9539773935901019,314
Event_Definition,Drought,T05_D20,h08,YHH,0.4719281222552624,0.4696553658212744,0.5012068799329897,576
Event_Definition,Drought,T05_D20,h08,YZR,0.16484265989019314,0.08904148898845472,0.6492829923343699,675
Event_Definition,Drought,T05_D20,hydropy,CSL,0.4112094787364936,0.2482542873335912,0.6235512849887072,1985
Event_Definition,Drought,T05_D20,hydropy,PSE,0.12175508942546269,0.036646914699386565,0.7686461424408355,271
Event_Definition,Drought,T05_D20,hydropy,SWRB,0.31513296449502637,0.011274063084457268,0.9654601092137579,312
Event_Definition,Drought,T05_D20,hydropy,YHH,0.18717275870405228,0.16521194790951535,0.5311602779325773,576
Event_Definition,Drought,T05_D20,hydropy,YZR,0.1525080041833184,0.03495225435624985,0.8135484575314811,672
Event_Definition,Drought,T05_D20,jules-w2,CSL,0.8447908245502015,0.09831125656965638,0.8957575658693069,1475
Event_Definition,Drought,T05_D20,jules-w2,PSE,0.14237025430406378,0.008606356218927363,0.9429954336031623,271
Event_Definition,Drought,T05_D20,jules-w2,SWRB,0.28082913029263923,0.024695410226483624,0.9191704529380089,314
Event_Definition,Drought,T05_D20,jules-w2,YHH,0.15091034111646964,0.029149655406636873,0.8381114296928458,568
Event_Definition,Drought,T05_D20,jules-w2,YZR,0.16385922895328772,0.017147745443697293,0.9052647252912542,675
Event_Definition,Drought,T05_D20,lpjml5-7-10-fire,CSL,0.22369062316781677,0.22836941330245977,0.49482503455605653,1208
Event_Definition,Drought,T05_D20,lpjml5-7-10-fire,PSE,0.10703804293667418,0.07349787852587007,0.5928905564584903,271
Event_Definition,Drought,T05_D20,lpjml5-7-10-fire,SWRB,0.2417693230954228,0.08735914795668542,0.7345743208497616,176
Event_Definition,Drought,T05_D20,lpjml5-7-10-fire,YHH,0.15868670548824046,0.2724218478680428,0.368089902770025,543
Event_Definition,Drought,T05_D20,lpjml5-7-10-fire,YZR,0.11700380432386333,0.13410800389890437,0.46594305999368324,589
Event_Definition,Drought,T05_D20,miroc-integ-land,CSL,0.4680894404424879,0.08143248136142749,0.8518121331827689,1987
Event_Definition,Drought,T05_D20,miroc-integ-land,PSE,0.1539124692016625,0.13300942388004658,0.5364263686836598,271
Event_Definition,Drought,T05_D20,miroc-integ-land,SWRB,3.267117361966722,0.08680899857558019,0.9741172019765086,314
Event_Definition,Drought,T05_D20,miroc-integ-land,YHH,0.363803928212374,0.41881257017000584,0.46485594025213417,576
Event_Definition,Drought,T05_D20,miroc-integ-land,YZR,0.32924049033964653,0.11376356414922137,0.743199722448409,675
Event_Definition,Drought,T05_D20,watergap2-2e,CSL,0.33440266264011204,0.17351584314933152,0.6583785761465007,1946
Event_Definition,Drought,T05_D20,watergap2-2e,PSE,0.10175191852785732,0.07479393026921366,0.5763484059306042,271
Event_Definition,Drought,T05_D20,watergap2-2e,SWRB,0.24344402810966045,0.034081444517201444,0.8771952563683242,314
Event_Definition,Drought,T05_D20,watergap2-2e,YHH,0.3769723706105412,0.482437758359902,0.4386408280551066,575
Event_Definition,Drought,T05_D20,watergap2-2e,YZR,0.1319405477520402,0.05974494422550344,0.6883178606312955,675
Event_Definition,Drought,T05_D20,web-dhm-sg,CSL,0.24763868035821598,0.12174681192277033,0.670407164149914,647
Event_Definition,Drought,T05_D20,web-dhm-sg,PSE,0.11626423118191334,0.029560142034670955,0.7972894284910313,239
Event_Definition,Drought,T05_D20,web-dhm-sg,SWRB,0.2250313095269951,0.06274117577209615,0.7819764606512425,133
Event_Definition,Drought,T05_D20,web-dhm-sg,YHH,0.16480092432625149,0.10462512345576204,0.6116740592935845,292
Event_Definition,Drought,T05_D20,web-dhm-sg,YZR,0.12341077864328794,0.04620276779063495,0.7275997774821932,532
Event_Definition,Drought,T05_D30,h08,CSL,2.1099340364268078,0.7478887008054272,0.7383012280426644,1987
Event_Definition,Drought,T05_D30,h08,PSE,0.1322097163644505,0.10234899259435375,0.5636529845825107,271
Event_Definition,Drought,T05_D30,h08,SWRB,0.40004024319281567,0.026197087517441243,0.9385387303505586,314
Event_Definition,Drought,T05_D30,h08,YHH,0.5474518754893917,0.543626166048088,0.5017531786433501,576
Event_Definition,Drought,T05_D30,h08,YZR,0.18755259952007125,0.09004245853741923,0.6756337840900206,675
Event_Definition,Drought,T05_D30,hydropy,CSL,0.499515370175274,0.36505658096426985,0.5777603234952172,1985
Event_Definition,Drought,T05_D30,hydropy,PSE,0.1481849348918651,0.039533041204606253,0.7894019420692584,271
Event_Definition,Drought,T05_D30,hydropy,SWRB,0.37599024640730694,0.015123505253970283,0.961332207855816,312
Event_Definition,Drought,T05_D30,hydropy,YHH,0.2246957327592157,0.22062166272618092,0.5045743441355958,576
Event_Definition,Drought,T05_D30,hydropy,YZR,0.1892506961823686,0.03815117065046544,0.8322301783102297,672
Event_Definition,Drought,T05_D30,jules-w2,CSL,0.9413417587101264,0.06341154486826309,0.9368884435189957,1475
Event_Definition,Drought,T05_D30,jules-w2,PSE,0.16706787968149855,0.009131673861261977,0.9481742508556023,271
Event_Definition,Drought,T05_D30,jules-w2,SWRB,0.3226315135447057,0.03184738081426752,0.9101571875756971,314
Event_Definition,Drought,T05_D30,jules-w2,YHH,0.21302477678849965,0.03915225630665966,0.844742973513034,568
Event_Definition,Drought,T05_D30,jules-w2,YZR,0.19174356400274165,0.02024089912869017,0.9045170630446596,675
Event_Definition,Drought,T05_D30,lpjml5-7-10-fire,CSL,0.27384541998004536,0.2905790350383588,0.48517639082650327,1208
Event_Definition,Drought,T05_D30,lpjml5-7-10-fire,PSE,0.12597088452335004,0.08150609747893332,0.6071559519887545,271
Event_Definition,Drought,T05_D30,lpjml5-7-10-fire,SWRB,0.2716642004287116,0.1264856602995076,0.68231645223192,176
Event_Definition,Drought,T05_D30,lpjml5-7-10-fire,YHH,0.1990539285546405,0.3188158692404986,0.3843706070562991,543
Event_Definition,Drought,T05_D30,lpjml5-7-10-fire,YZR,0.13285298390926134,0.14589287631832254,0.47660971108518946,589
Event_Definition,Drought,T05_D30,miroc-integ-land,CSL,0.7151721313552309,0.11819743917042333,0.8581692404537048,1987
Event_Definition,Drought,T05_D30,miroc-integ-land,PSE,0.20202263897444564,0.16546290511338108,0.549743091189904,271
Event_Definition,Drought,T05_D30,miroc-integ-land,SWRB,3.984647235528263,0.10394567607363192,0.9745766628468506,314
Event_Definition,Drought,T05_D30,miroc-integ-land,YHH,0.49458369454448503,0.5643875256578692,0.46704167696831,576
Event_Definition,Drought,T05_D30,miroc-integ-land,YZR,0.456966944800745,0.1439324839800258,0.7604715912743238,675
Event_Definition,Drought,T05_D30,watergap2-2e,CSL,0.3590856158470041,0.17592160038532798,0.6711790139500992,1946
Event_Definition,Drought,T05_D30,watergap2-2e,PSE,0.11854521128323196,0.09451921413195093,0.5563820006659097,271
Event_Definition,Drought,T05_D30,watergap2-2e,SWRB,0.2776442376061526,0.04770150240442739,0.8533821208082326,314
Event_Definition,Drought,T05_D30,watergap2-2e,YHH,0.3657207202466008,0.5761257863061479,0.3883018280602588,575
Event_Definition,Drought,T05_D30,watergap2-2e,YZR,0.16383678593834963,0.07956994293211087,0.6730988362509178,675
Event_Definition,Drought,T05_D30,web-dhm-sg,CSL,0.3378532406217749,0.15449892361048959,0.6862024078813523,647
Event_Definition,Drought,T05_D30,web-dhm-sg,PSE,0.1482880851014671,0.03513103774058726,0.8084657848307384,239
Event_Definition,Drought,T05_D30,web-dhm-sg,SWRB,0.2955250348998035,0.09948133071513951,0.748152588477232,133
Event_Definition,Drought,T05_D30,web-dhm-sg,YHH,0.21478887959111703,0.12762487938500397,0.6272787642452645,292
Event_Definition,Drought,T05_D30,web-dhm-sg,YZR,0.16205880452988602,0.05902964250634767,0.7330044002856765,532
Event_Definition,Flood,T05_G10,h08,CSL,0.8134560419447483,0.21358674080090362,0.792037153282057,1987
Event_Definition,Flood,T05_G10,h08,PSE,0.08757941957843259,0.04493423764059385,0.6609086294681017,271
Event_Definition,Flood,T05_G10,h08,SWRB,0.3367482316392465,0.012225748029774079,0.9649665913734617,314
Event_Definition,Flood,T05_G10,h08,YHH,0.15417879609150573,0.1443695438605782,0.5164282478216121,576
Event_Definition,Flood,T05_G10,h08,YZR,0.1874627226715192,0.04996432449203089,0.7895592558264295,675
Event_Definition,Flood,T05_G10,hydropy,CSL,0.2617191544416777,0.07323049504393919,0.7813686470297865,1985
Event_Definition,Flood,T05_G10,hydropy,PSE,0.06359287319302326,0.014849181658934982,0.8106987165626974,271
Event_Definition,Flood,T05_G10,hydropy,SWRB,0.18332616923708403,0.0061901418761593175,0.9673371550986951,312
Event_Definition,Flood,T05_G10,hydropy,YHH,0.09608027763197713,0.07400592113379567,0.5648916745108175,576
Event_Definition,Flood,T05_G10,hydropy,YZR,0.09028762533475866,0.015950931794208013,0.8498574131156108,672
Event_Definition,Flood,T05_G10,jules-w2,CSL,0.16740963330786432,0.024388458339373753,0.8728430604813844,1475
Event_Definition,Flood,T05_G10,jules-w2,PSE,0.059876250625225454,0.006371447561666154,0.9038238650391801,271
Event_Definition,Flood,T05_G10,jules-w2,SWRB,0.1858722086532026,0.024482822556071752,0.8836118992955547,314
Event_Definition,Flood,T05_G10,jules-w2,YHH,0.07140490035918773,0.014781191826342712,0.8284967858326416,568
Event_Definition,Flood,T05_G10,jules-w2,YZR,0.07841084081331623,0.011837659024557088,0.8688326227491556,675
Event_Definition,Flood,T05_G10,lpjml5-7-10-fire,CSL,0.15476608058104804,0.12134599064365337,0.5605190671113348,1208
Event_Definition,Flood,T05_G10,lpjml5-7-10-fire,PSE,0.05673525177125872,0.03215156867829722,0.6382864353153062,271
Event_Definition,Flood,T05_G10,lpjml5-7-10-fire,SWRB,0.16410471231700613,0.07143322203647857,0.6967230682711397,176
Event_Definition,Flood,T05_G10,lpjml5-7-10-fire,YHH,0.08114255381358555,0.10887580908048186,0.42702480211779,543
Event_Definition,Flood,T05_G10,lpjml5-7-10-fire,YZR,0.07515450779211233,0.06674194109131616,0.5296433306365097,589
Event_Definition,Flood,T05_G10,miroc-integ-land,CSL,0.1607532743022274,0.087601492945974,0.6472727545494361,1987
Event_Definition,Flood,T05_G10,miroc-integ-land,PSE,0.10821919008091324,0.09848802915923657,0.5235385124850699,271
Event_Definition,Flood,T05_G10,miroc-integ-land,SWRB,0.5455296476264073,0.09414713162582947,0.85282077655549,314
Event_Definition,Flood,T05_G10,miroc-integ-land,YHH,0.13622766119853222,0.181749185541213,0.4284200645276245,576
Event_Definition,Flood,T05_G10,miroc-integ-land,YZR,0.11260858711387034,0.05541456927159306,0.6701968320100713,675
Event_Definition,Flood,T05_G10,watergap2-2e,CSL,0.3461597614421869,0.1406974540496448,0.7110087935997627,1946
Event_Definition,Flood,T05_G10,watergap2-2e,PSE,0.06379363659763196,0.03876506597687966,0.6220207061539628,271
Event_Definition,Flood,T05_G10,watergap2-2e,SWRB,0.18330115329060565,0.022935081902346832,0.8887921810593128,314
Event_Definition,Flood,T05_G10,watergap2-2e,YHH,0.12856485346418872,0.12880594714133428,0.49953162193112366,575
Event_Definition,Flood,T05_G10,watergap2-2e,YZR,0.10396814654442564,0.03206557606405593,0.7642821540924539,675
Event_Definition,Flood,T05_G10,web-dhm-sg,CSL,0.14217426958777687,0.0782320711597519,0.6450552606861467,647
Event_Definition,Flood,T05_G10,web-dhm-sg,PSE,0.07039972841514007,0.018477912172446348,0.7920971793323329,239
Event_Definition,Flood,T05_G10,web-dhm-sg,SWRB,0.139729939973105,0.052711628351016934,0.726090216318354,133
Event_Definition,Flood,T05_G10,web-dhm-sg,YHH,0.10388918843556044,0.06653261370094714,0.60960033947033,292
Event_Definition,Flood,T05_G10,web-dhm-sg,YZR,0.0763125867968817,0.03654018158916464,0.6762136887580097,532
Event_Definition,Flood,T05_G20,h08,CSL,0.6991572860625093,0.19526916251655047,0.7816822581367457,1987
Event_Definition,Flood,T05_G20,h08,PSE,0.07082269119297314,0.04299064696759064,0.6222705733580982,271
Event_Definition,Flood,T05_G20,h08,SWRB,0.2669660009207333,0.012342865758196672,0.9558092591010189,314
Event_Definition,Flood,T05_G20,h08,YHH,0.15666576014713493,0.14163894640580335,0.5251870208736799,576
Event_Definition,Flood,T05_G20,h08,YZR,0.16267409245668563,0.047686190657953376,0.773311815558044,675
Event_Definition,Flood,T05_G20,hydropy,CSL,0.22629073588727938,0.06153043266595253,0.7862199192114926,1985
Event_Definition,Flood,T05_G20,hydropy,PSE,0.05051608139446118,0.014987136457389307,0.771199996749993,271
Event_Definition,Flood,T05_G20,hydropy,SWRB,0.1195544451447839,0.005234220237324401,0.9580553232034577,312
Event_Definition,Flood,T05_G20,hydropy,YHH,0.09458282551192289,0.06759987371618577,0.5831868994786732,576
Event_Definition,Flood,T05_G20,hydropy,YZR,0.06929279214683567,0.016320445965512773,0.8093700655955123,672
Event_Definition,Flood,T05_G20,jules-w2,CSL,0.13894664579856603,0.02517729854086605,0.8465958234052933,1475
Event_Definition,Flood,T05_G20,jules-w2,PSE,0.04929888424897518,0.005667464618204324,0.896892103350376,271
Event_Definition,Flood,T05_G20,jules-w2,SWRB,0.14424726318959277,0.027600252806514812,0.8393910284560646,314
Event_Definition,Flood,T05_G20,jules-w2,YHH,0.06439019936044449,0.016687436233215794,0.7941795402514101,568
Event_Definition,Flood,T05_G20,jules-w2,YZR,0.07136177063004374,0.0120201042449035,0.8558427204601627,675
Event_Definition,Flood,T05_G20,lpjml5-7-10-fire,CSL,0.13570142013987052,0.11283368037621157,0.5460050506270024,1208
Event_Definition,Flood,T05_G20,lpjml5-7-10-fire,PSE,0.053810443074330035,0.033638091330622365,0.6153384209407932,271
Event_Definition,Flood,T05_G20,lpjml5-7-10-fire,SWRB,0.1179864891829268,0.06159677493359156,0.657001585105247,176
Event_Definition,Flood,T05_G20,lpjml5-7-10-fire,YHH,0.07843164466798934,0.09646830638445192,0.44843720193193604,543
Event_Definition,Flood,T05_G20,lpjml5-7-10-fire,YZR,0.07069669214717259,0.060332677271548396,0.5395484421607215,589
Event_Definition,Flood,T05_G20,miroc-integ-land,CSL,0.12361581393194353,0.06129931401860411,0.6685002752452056,1987
Event_Definition,Flood,T05_G20,miroc-integ-land,PSE,0.09438233273808827,0.0934683479452128,0.5024327428294401,271
