Scenario,Scenario_Label,Model,Definition,Percent_FR_GT_1
countclim-1901soc,Natural,h08,T05_D10,46.1940884122417
countclim-1901soc,Natural,h08,T05_D20,46.87418257912634
countclim-1901soc,Natural,h08,T05_D30,46.74339523934083
countclim-1901soc,Natural,h08,T08_D10,48.88830761182317
countclim-1901soc,Natural,h08,T08_D20,47.89432382945331
countclim-1901soc,Natural,h08,T08_D30,48.28668584880983
countclim-1901soc,Natural,h08,T10_D10,48.28668584880983
countclim-1901soc,Natural,h08,T10_D20,47.84200889353911
countclim-1901soc,Natural,h08,T10_D30,47.10959979074026
countclim-1901soc,Natural,hydropy,T05_D10,32.835429769392036
countclim-1901soc,Natural,hydropy,T05_D20,33.17610062893082
countclim-1901soc,Natural,hydropy,T05_D30,31.39412997903564
countclim-1901soc,Natural,hydropy,T08_D10,30.345911949685533
countclim-1901soc,Natural,hydropy,T08_D20,32.127882599580715
countclim-1901soc,Natural,hydropy,T08_D30,31.07966457023061
countclim-1901soc,Natural,hydropy,T10_D10,31.289308176100626
countclim-1901soc,Natural,hydropy,T10_D20,31.99685534591195
countclim-1901soc,Natural,hydropy,T10_D30,31.70859538784067
countclim-1901soc,Natural,jules-w2,T05_D10,47.36997635933806
countclim-1901soc,Natural,jules-w2,T05_D20,48.19739952718676
countclim-1901soc,Natural,jules-w2,T05_D30,52.21631205673759
countclim-1901soc,Natural,jules-w2,T08_D10,47.5177304964539
countclim-1901soc,Natural,jules-w2,T08_D20,49.94089834515367
countclim-1901soc,Natural,jules-w2,T08_D30,51.06382978723404
countclim-1901soc,Natural,jules-w2,T10_D10,47.66548463356974
countclim-1901soc,Natural,jules-w2,T10_D20,47.5177304964539
countclim-1901soc,Natural,jules-w2,T10_D30,49.1725768321513
countclim-1901soc,Natural,lpjml5-7-10-fire,T05_D10,44.82880338863396
countclim-1901soc,Natural,lpjml5-7-10-fire,T05_D20,43.62866219555242
countclim-1901soc,Natural,lpjml5-7-10-fire,T05_D30,42.64031062477939
countclim-1901soc,Natural,lpjml5-7-10-fire,T08_D10,43.62866219555242
countclim-1901soc,Natural,lpjml5-7-10-fire,T08_D20,42.11083656900812
countclim-1901soc,Natural,lpjml5-7-10-fire,T08_D30,42.35792446170137
countclim-1901soc,Natural,lpjml5-7-10-fire,T10_D10,43.41687257324391
countclim-1901soc,Natural,lpjml5-7-10-fire,T10_D20,41.298976350158846
countclim-1901soc,Natural,lpjml5-7-10-fire,T10_D30,40.87539710554183
countclim-1901soc,Natural,miroc-integ-land,T05_D10,38.843839916296105
countclim-1901soc,Natural,miroc-integ-land,T05_D20,37.84985613392624
countclim-1901soc,Natural,miroc-integ-land,T05_D30,39.49777661522364
countclim-1901soc,Natural,miroc-integ-land,T08_D10,39.34083180748104
countclim-1901soc,Natural,miroc-integ-land,T08_D20,38.29453308919696
countclim-1901soc,Natural,miroc-integ-land,T08_D30,41.06722469264975
countclim-1901soc,Natural,miroc-integ-land,T10_D10,38.29453308919696
countclim-1901soc,Natural,miroc-integ-land,T10_D20,38.29453308919696
countclim-1901soc,Natural,miroc-integ-land,T10_D30,40.30865812189381
countclim-1901soc,Natural,watergap2-2e,T05_D10,37.12858269787011
countclim-1901soc,Natural,watergap2-2e,T05_D20,35.5771759137523
countclim-1901soc,Natural,watergap2-2e,T05_D30,33.94688403891665
countclim-1901soc,Natural,watergap2-2e,T08_D10,35.20904549040231
countclim-1901soc,Natural,watergap2-2e,T08_D20,33.13173810149881
countclim-1901soc,Natural,watergap2-2e,T08_D30,32.89508282934525
countclim-1901soc,Natural,watergap2-2e,T10_D10,33.55245858532737
countclim-1901soc,Natural,watergap2-2e,T10_D20,30.71259531948462
countclim-1901soc,Natural,watergap2-2e,T10_D30,31.81698658953458
countclim-1901soc,Natural,web-dhm-sg,T05_D10,46.60810151293314
countclim-1901soc,Natural,web-dhm-sg,T05_D20,47.242557345046365
countclim-1901soc,Natural,web-dhm-sg,T05_D30,47.535383113714005
countclim-1901soc,Natural,web-dhm-sg,T08_D10,45.48560273304051
countclim-1901soc,Natural,web-dhm-sg,T08_D20,47.681795998047825
countclim-1901soc,Natural,web-dhm-sg,T08_D30,48.31625183016106
countclim-1901soc,Natural,web-dhm-sg,T10_D10,43.38701805758907
countclim-1901soc,Natural,web-dhm-sg,T10_D20,47.43777452415813
countclim-1901soc,Natural,web-dhm-sg,T10_D30,46.8033186920449
countclim-histsoc,Historical,h08,T05_D10,49.41145697096521
countclim-histsoc,Historical,h08,T05_D20,49.306827099136804
countclim-histsoc,Historical,h08,T05_D30,50.170023541721164
countclim-histsoc,Historical,h08,T08_D10,51.58252681140466
countclim-histsoc,Historical,h08,T08_D20,51.477896939576254
countclim-histsoc,Historical,h08,T08_D30,53.701281715929895
countclim-histsoc,Historical,h08,T10_D10,52.47188072194612
countclim-histsoc,Historical,h08,T10_D20,52.78577033743134
countclim-histsoc,Historical,h08,T10_D30,53.151974888830765
countclim-histsoc,Historical,hydropy,T05_D10,39.46540880503145
countclim-histsoc,Historical,hydropy,T05_D20,40.74947589098532
countclim-histsoc,Historical,hydropy,T05_D30,39.46540880503145
countclim-histsoc,Historical,hydropy,T08_D10,38.4958071278826
countclim-histsoc,Historical,hydropy,T08_D20,40.172955974842765
countclim-histsoc,Historical,hydropy,T08_D30,39.64884696016772
countclim-histsoc,Historical,hydropy,T10_D10,40.041928721174
countclim-histsoc,Historical,hydropy,T10_D20,40.01572327044025
countclim-histsoc,Historical,hydropy,T10_D30,39.596436058700206
countclim-histsoc,Historical,jules-w2,T05_D10,47.31404958677686
countclim-histsoc,Historical,jules-w2,T05_D20,48.11097992916174
countclim-histsoc,Historical,jules-w2,T05_D30,52.36127508854782
countclim-histsoc,Historical,jules-w2,T08_D10,47.25501770956316
countclim-histsoc,Historical,jules-w2,T08_D20,49.79338842975206
countclim-histsoc,Historical,jules-w2,T08_D30,51.59386068476978
countclim-histsoc,Historical,jules-w2,T10_D10,47.756788665879576
countclim-histsoc,Historical,jules-w2,T10_D20,47.55017709563164
countclim-histsoc,Historical,jules-w2,T10_D30,48.96694214876033
countclim-histsoc,Historical,lpjml5-7-10-fire,T05_D10,47.85059901338971
countclim-histsoc,Historical,lpjml5-7-10-fire,T05_D20,46.30021141649049
countclim-histsoc,Historical,lpjml5-7-10-fire,T05_D30,45.73643410852713
countclim-histsoc,Historical,lpjml5-7-10-fire,T08_D10,47.21634954193094
countclim-histsoc,Historical,lpjml5-7-10-fire,T08_D20,46.15926708949965
countclim-histsoc,Historical,lpjml5-7-10-fire,T08_D30,47.533474277660325
countclim-histsoc,Historical,lpjml5-7-10-fire,T10_D10,46.54686398872445
countclim-histsoc,Historical,lpjml5-7-10-fire,T10_D20,46.37068357998591
countclim-histsoc,Historical,lpjml5-7-10-fire,T10_D30,48.30866807610993
countclim-histsoc,Historical,miroc-integ-land,T05_D10,38.8699973842532
countclim-histsoc,Historical,miroc-integ-land,T05_D20,38.11143081349726
countclim-histsoc,Historical,miroc-integ-land,T05_D30,39.94245357049437
countclim-histsoc,Historical,miroc-integ-land,T08_D10,38.66073764059639
countclim-histsoc,Historical,miroc-integ-land,T08_D20,38.765367512424795
countclim-histsoc,Historical,miroc-integ-land,T08_D30,40.93643735286424
countclim-histsoc,Historical,miroc-integ-land,T10_D10,38.34684802511117
countclim-histsoc,Historical,miroc-integ-land,T10_D20,38.16374574941146
countclim-histsoc,Historical,miroc-integ-land,T10_D30,39.916296102537274
countclim-histsoc,Historical,watergap2-2e,T05_D10,37.67429623783215
countclim-histsoc,Historical,watergap2-2e,T05_D20,35.280189423835836
countclim-histsoc,Historical,watergap2-2e,T05_D30,35.06971849513286
countclim-histsoc,Historical,watergap2-2e,T08_D10,35.51696921862668
countclim-histsoc,Historical,watergap2-2e,T08_D20,34.04367271770587
countclim-histsoc,Historical,watergap2-2e,T08_D30,33.75427519073928
countclim-histsoc,Historical,watergap2-2e,T10_D10,34.148908182057355
countclim-histsoc,Historical,watergap2-2e,T10_D20,31.754801368061038
countclim-histsoc,Historical,watergap2-2e,T10_D30,32.386214154169956
countclim-histsoc,Historical,web-dhm-sg,T05_D10,46.01167315175097
countclim-histsoc,Historical,web-dhm-sg,T05_D20,47.66536964980545
countclim-histsoc,Historical,web-dhm-sg,T05_D30,48.249027237354085
countclim-histsoc,Historical,web-dhm-sg,T08_D10,45.42801556420233
countclim-histsoc,Historical,web-dhm-sg,T08_D20,47.42217898832685
countclim-histsoc,Historical,web-dhm-sg,T08_D30,46.88715953307393
countclim-histsoc,Historical,web-dhm-sg,T10_D10,44.16342412451362
countclim-histsoc,Historical,web-dhm-sg,T10_D20,47.85992217898833
countclim-histsoc,Historical,web-dhm-sg,T10_D30,47.081712062256805
obsclim-histsoc,Factual,h08,T05_D10,53.596651844101494
obsclim-histsoc,Factual,h08,T05_D20,52.2364635103322
obsclim-histsoc,Factual,h08,T05_D30,54.224431075071934
obsclim-histsoc,Factual,h08,T08_D10,54.69526549829976
obsclim-histsoc,Factual,h08,T08_D20,54.93068270991368
obsclim-histsoc,Factual,h08,T08_D30,56.16008370389747
obsclim-histsoc,Factual,h08,T10_D10,55.32304472927021
obsclim-histsoc,Factual,h08,T10_D20,55.558461940884115
obsclim-histsoc,Factual,h08,T10_D30,56.89249280669632
obsclim-histsoc,Factual,hydropy,T05_D10,40.03143830233167
obsclim-histsoc,Factual,hydropy,T05_D20,41.36756615142782
obsclim-histsoc,Factual,hydropy,T05_D30,41.26277181032224
obsclim-histsoc,Factual,hydropy,T08_D10,38.485721771024366
obsclim-histsoc,Factual,hydropy,T08_D20,40.52921142258318
obsclim-histsoc,Factual,hydropy,T08_D30,40.4244170814776
obsclim-histsoc,Factual,hydropy,T10_D10,39.376473670421795
obsclim-histsoc,Factual,hydropy,T10_D20,40.26722556981923
obsclim-histsoc,Factual,hydropy,T10_D30,40.52921142258318
obsclim-histsoc,Factual,jules-w2,T05_D10,37.331772966647165
obsclim-histsoc,Factual,jules-w2,T05_D20,34.34757167934465
obsclim-histsoc,Factual,jules-w2,T05_D30,34.90345231129315
obsclim-histsoc,Factual,jules-w2,T08_D10,34.08425980105324
obsclim-histsoc,Factual,jules-w2,T08_D20,32.82621416032768
obsclim-histsoc,Factual,jules-w2,T08_D30,33.26506729081334
obsclim-histsoc,Factual,jules-w2,T10_D10,32.094792276184904
obsclim-histsoc,Factual,jules-w2,T10_D20,29.520187244002337
obsclim-histsoc,Factual,jules-w2,T10_D30,30.98303101228789
obsclim-histsoc,Factual,lpjml5-7-10-fire,T05_D10,41.55800735539953
obsclim-histsoc,Factual,lpjml5-7-10-fire,T05_D20,41.25710464727516
obsclim-histsoc,Factual,lpjml5-7-10-fire,T05_D30,39.98662654630558
obsclim-histsoc,Factual,lpjml5-7-10-fire,T08_D10,42.360414577064525
obsclim-histsoc,Factual,lpjml5-7-10-fire,T08_D20,41.323971915747244
obsclim-histsoc,Factual,lpjml5-7-10-fire,T08_D30,41.05650284185891
obsclim-histsoc,Factual,lpjml5-7-10-fire,T10_D10,41.323971915747244
obsclim-histsoc,Factual,lpjml5-7-10-fire,T10_D20,40.05349381477767
obsclim-histsoc,Factual,lpjml5-7-10-fire,T10_D30,39.1173520561685
obsclim-histsoc,Factual,miroc-integ-land,T05_D10,40.98875228877844
obsclim-histsoc,Factual,miroc-integ-land,T05_D20,38.11143081349726
obsclim-histsoc,Factual,miroc-integ-land,T05_D30,40.98875228877844
obsclim-histsoc,Factual,miroc-integ-land,T08_D10,37.84985613392624
obsclim-histsoc,Factual,miroc-integ-land,T08_D20,37.79754119801203
obsclim-histsoc,Factual,miroc-integ-land,T08_D30,40.98875228877844
obsclim-histsoc,Factual,miroc-integ-land,T10_D10,35.338739210044466
obsclim-histsoc,Factual,miroc-integ-land,T10_D20,36.96050222338478
obsclim-histsoc,Factual,miroc-integ-land,T10_D30,39.471619147266544
obsclim-histsoc,Factual,watergap2-2e,T05_D10,38.684974914180096
obsclim-histsoc,Factual,watergap2-2e,T05_D20,36.519672564034856
obsclim-histsoc,Factual,watergap2-2e,T05_D30,36.99498283601796
obsclim-histsoc,Factual,watergap2-2e,T08_D10,34.724055980987586
obsclim-histsoc,Factual,watergap2-2e,T08_D20,33.93187219434909
obsclim-histsoc,Factual,watergap2-2e,T08_D30,35.35780301029839
obsclim-histsoc,Factual,watergap2-2e,T10_D10,33.56218642725112
obsclim-histsoc,Factual,watergap2-2e,T10_D20,32.47953525217851
obsclim-histsoc,Factual,watergap2-2e,T10_D30,34.51280697121732
obsclim-histsoc,Factual,web-dhm-sg,T05_D10,42.41559676652401
obsclim-histsoc,Factual,web-dhm-sg,T05_D20,47.07560627674751
obsclim-histsoc,Factual,web-dhm-sg,T05_D30,51.21255349500713
obsclim-histsoc,Factual,web-dhm-sg,T08_D10,41.27436994769377
obsclim-histsoc,Factual,web-dhm-sg,T08_D20,48.93009985734665
obsclim-histsoc,Factual,web-dhm-sg,T08_D30,51.78316690442225
