Scenario,Scenario_Label,Definition,mean,std,min,max,q25,q75
countclim-1901soc,Natural,T05_D10,41.97268886524358,5.676558979775565,32.835429769392036,47.36997635933806,37.98621130708311,46.40109496258742
countclim-1901soc,Natural,T05_D20,41.7922763319316,6.168979985707691,33.17610062893082,48.19739952718676,36.71351602383927,47.05836996208635
countclim-1901soc,Natural,T05_D30,41.99631309539253,7.544550755873929,31.39412997903564,52.21631205673759,36.722330327070146,47.139389176527416
countclim-1901soc,Natural,T08_D10,41.48801318349127,6.829680226243644,30.345911949685533,48.88830761182317,37.27493864894167,46.50166661474721
countclim-1901soc,Natural,T08_D20,41.597429790277054,7.289225234570749,32.127882599580715,49.94089834515367,35.713135595347886,47.78805991375057
countclim-1901soc,Natural,T08_D30,42.15238057430456,7.794863158485199,31.07966457023061,51.06382978723404,36.9811537609975,48.301468839485445
countclim-1901soc,Natural,T10_D10,40.84176585197679,6.65796888460751,31.289308176100626,48.28668584880983,35.923495837262166,45.54117860340682
countclim-1901soc,Natural,T10_D20,40.72863914555764,7.354359559028412,30.71259531948462,47.84200889353911,35.14569421755446,47.47775251030602
countclim-1901soc,Natural,T10_D30,41.1135903599639,7.174698885320373,31.70859538784067,49.1725768321513,36.06282235571419,46.95645924139258
countclim-histsoc,Historical,T05_D10,43.799640164285655,4.928720196071943,37.67429623783215,49.41145697096521,39.16770309464233,47.582324300083286
countclim-histsoc,Historical,T05_D20,43.64635488898756,5.540596742052705,35.280189423835836,49.306827099136804,39.43045335224129,47.8881747894836
countclim-histsoc,Historical,T05_D30,44.42776297811555,6.384157571937028,35.06971849513286,52.36127508854782,39.70393118776291,49.209525389537625
countclim-histsoc,Historical,T08_D10,43.450774802029535,5.903785800792903,35.51696921862668,51.58252681140466,38.5782723842395,47.23568362574705
countclim-histsoc,Historical,T08_D20,43.97638966458975,6.416492156881201,34.04367271770587,51.477896939576254,39.46916174363378,48.60778370903945
countclim-histsoc,Historical,T08_D30,44.86504795931502,7.078810959529114,33.75427519073928,53.701281715929895,40.29264215651598,49.56366748121505
countclim-histsoc,Historical,T10_D10,43.353806061343754,6.246931872647548,34.148908182057355,52.47188072194612,39.19438837314259,47.15182632730202
countclim-histsoc,Historical,T10_D20,43.50011765427856,7.169898830650876,31.754801368061038,52.78577033743134,39.089734509925854,47.70504963730998
countclim-histsoc,Historical,T10_D30,44.20117764162361,7.154898741134338,32.386214154169956,53.151974888830765,39.75636608061874,48.63780511243513
obsclim-histsoc,Factual,T05_D10,42.08674206256605,5.361550380737527,37.331772966647165,53.596651844101494,39.358206608255884,41.98680206096177
obsclim-histsoc,Factual,T05_D20,41.559345091808495,6.2430522909127735,34.34757167934465,52.2364635103322,37.31555168876606,44.221586214087665
obsclim-histsoc,Factual,T05_D30,42.79622433754235,7.198391377577378,34.90345231129315,54.224431075071934,38.49080469116177,46.23766265266468
obsclim-histsoc,Factual,T08_D10,40.49627767286421,6.96622910544615,34.08425980105324,54.69526549829976,36.28695605745691,41.817392262379144
obsclim-histsoc,Factual,T08_D20,41.46708477975422,7.987227041413513,32.82621416032768,54.93068270991368,35.86470669618056,45.12703588654695
obsclim-histsoc,Factual,T08_D30,42.71939901736378,8.34075017805062,33.26506729081334,56.16008370389747,37.891110045888,46.41983487314058
obsclim-histsoc,Factual,T10_D10,39.76301847058068,7.788419233967031,32.094792276184904,55.32304472927021,34.45046281864779,41.322946490446135
obsclim-histsoc,Factual,T10_D20,40.42301955796027,8.967276756497263,29.520187244002337,55.558461940884115,34.72001873778164,44.19447821524723
obsclim-histsoc,Factual,T10_D30,41.78304447485294,9.094880470661272,30.98303101228789,56.89249280669632,36.81507951369291,45.75200466516701
