Scenario,Scenario_Label,Model,Definition,Percent_FR_GT_1
countclim-1901soc,Natural,h08,T05_G10,52.393408318074805
countclim-1901soc,Natural,h08,T05_G20,49.35914203505101
countclim-1901soc,Natural,h08,T05_G30,46.97881245095475
countclim-1901soc,Natural,h08,T08_G10,49.77766152236464
countclim-1901soc,Natural,h08,T08_G20,49.045252419565784
countclim-1901soc,Natural,h08,T08_G30,50.274653413549565
countclim-1901soc,Natural,h08,T10_G10,50.69317290086319
countclim-1901soc,Natural,h08,T10_G20,50.7193303688203
countclim-1901soc,Natural,h08,T10_G30,49.82997645827884
countclim-1901soc,Natural,hydropy,T05_G10,65.30398322851153
countclim-1901soc,Natural,hydropy,T05_G20,59.774633123689725
countclim-1901soc,Natural,hydropy,T05_G30,53.51153039832285
countclim-1901soc,Natural,hydropy,T08_G10,65.82809224318659
countclim-1901soc,Natural,hydropy,T08_G20,64.30817610062893
countclim-1901soc,Natural,hydropy,T08_G30,61.111111111111114
countclim-1901soc,Natural,hydropy,T10_G10,65.9329140461216
countclim-1901soc,Natural,hydropy,T10_G20,64.46540880503144
countclim-1901soc,Natural,hydropy,T10_G30,62.99790356394131
countclim-1901soc,Natural,jules-w2,T05_G10,53.45744680851063
countclim-1901soc,Natural,jules-w2,T05_G20,47.6063829787234
countclim-1901soc,Natural,jules-w2,T05_G30,46.956264775413715
countclim-1901soc,Natural,jules-w2,T08_G10,57.15130023640662
countclim-1901soc,Natural,jules-w2,T08_G20,53.693853427895974
countclim-1901soc,Natural,jules-w2,T08_G30,52.452718676122934
countclim-1901soc,Natural,jules-w2,T10_G10,57.180851063829785
countclim-1901soc,Natural,jules-w2,T10_G20,56.26477541371159
countclim-1901soc,Natural,jules-w2,T10_G30,54.37352245862884
countclim-1901soc,Natural,lpjml5-7-10-fire,T05_G10,54.641722555594775
countclim-1901soc,Natural,lpjml5-7-10-fire,T05_G20,51.92375573596893
countclim-1901soc,Natural,lpjml5-7-10-fire,T05_G30,47.44087539710554
countclim-1901soc,Natural,lpjml5-7-10-fire,T08_G10,58.03035651253089
countclim-1901soc,Natural,lpjml5-7-10-fire,T08_G20,56.01835510060007
countclim-1901soc,Natural,lpjml5-7-10-fire,T08_G30,52.87680903635722
countclim-1901soc,Natural,lpjml5-7-10-fire,T10_G10,57.92446170137663
countclim-1901soc,Natural,lpjml5-7-10-fire,T10_G20,57.11260148252736
countclim-1901soc,Natural,lpjml5-7-10-fire,T10_G30,56.30074126367808
countclim-1901soc,Natural,miroc-integ-land,T05_G10,58.12189380068009
countclim-1901soc,Natural,miroc-integ-land,T05_G20,51.08553492021972
countclim-1901soc,Natural,miroc-integ-land,T05_G30,46.56029296364112
countclim-1901soc,Natural,miroc-integ-land,T08_G10,64.39968611038451
