Scenario,Scenario_Label,Definition,mean,std,min,max,q25,q75
countclim-1901soc,Natural,T05_G10,57.47787483603728,5.3630317087894905,52.393408318074805,65.30398322851153,53.71749841645639,61.28550645858354
countclim-1901soc,Natural,T05_G20,52.69669877122247,4.48445302572291,47.6063829787234,59.774633123689725,50.22233847763536,54.95214870679593
countclim-1901soc,Natural,T05_G30,48.73868741905726,2.6702412736486116,46.56029296364112,53.51153039832285,46.96753861318423,49.8615179739814
countclim-1901soc,Natural,T08_G10,58.604052463700995,7.17333081128667,49.14592484138604,65.89534577964766,53.46448087938563,65.11388917678555
countclim-1901soc,Natural,T08_G20,56.65635213670304,6.705271730672124,48.26744753538311,64.30817610062893,51.36955292373088,62.63069018642371
countclim-1901soc,Natural,T08_G30,54.76292674846543,5.6868606241694195,46.60810151293314,61.267420457533525,51.36368604483625,59.93039207138082
countclim-1901soc,Natural,T10_G10,58.338669885002844,8.32607312972774,44.802342606149345,66.20455139942453,53.93701198234649,65.7826547616882
countclim-1901soc,Natural,T10_G20,57.453107456924535,7.870454960829871,44.36310395314788,65.4746252958191,53.49205289126594,64.11865784222276
countclim-1901soc,Natural,T10_G30,56.20050730608015,7.525098707954742,43.826256710590535,64.26505390481199,52.10174945845384,62.40400017328638
countclim-histsoc,Historical,T05_G10,57.5330524138311,4.771540664205965,53.2172373081464,66.58774006840305,54.45115245529058,59.21077380590063
countclim-histsoc,Historical,T05_G20,52.82165591209663,4.171738186070073,47.992916174734354,60.35253880557748,50.67213624071384,54.50124323533714
countclim-histsoc,Historical,T05_G30,49.54332502859736,2.2547301479747643,46.66469893742621,52.85451197053407,47.98724828045525,50.94905538017278
countclim-histsoc,Historical,T08_G10,58.600032775948584,5.95090251042962,50.43774319066148,66.98237305972113,54.83688487100848,62.73005684999377
countclim-histsoc,Historical,T08_G20,56.5102755964033,5.649303049096835,49.07587548638132,64.90397263877927,52.506546315549244,60.452989628591375
countclim-histsoc,Historical,T08_G30,55.39773995550534,4.916557722556957,47.76264591439689,62.48355695869508,53.05743587019596,58.738331959654985
countclim-histsoc,Historical,T10_G10,58.46169423199869,7.146819421565858,47.081712062256805,66.1667982109971,54.5951058667155,64.27394724417093
countclim-histsoc,Historical,T10_G20,57.647795893298294,6.9791838700449,46.06031128404669,65.82478295185477,54.361981679890036,62.939148653932314
countclim-histsoc,Historical,T10_G30,56.78452704100903,6.314200900819748,45.96303501945525,64.50933964746119,53.94866203161688,61.46022008465807
obsclim-histsoc,Factual,T05_G10,58.725507089220564,6.205298544226061,46.926497515040545,64.93266437813573,57.33026035947053,62.16415973099717
obsclim-histsoc,Factual,T05_G20,52.67066855345599,5.307970800986936,43.89223123201674,58.31805082525544,49.55641679931731,56.42065338965075
obsclim-histsoc,Factual,T05_G30,49.42270504174355,4.265323444178679,44.572325398901384,55.98637673565627,45.93750269544441,52.12202545141663
obsclim-histsoc,Factual,T08_G10,60.259574043775224,7.467210648710057,48.31284331676694,67.65249537892791,56.57028145778276,64.85175955271801
obsclim-histsoc,Factual,T08_G20,57.593534433095066,7.000247709894687,47.13575725869736,64.77422762080802,53.97548113633613,61.66261609090975
obsclim-histsoc,Factual,T08_G30,55.07856208436714,6.030957099454683,45.60152163575844,63.63876419329284,52.2705416861113,57.565994496720926
obsclim-histsoc,Factual,T10_G10,60.21777390424699,7.865466706003313,48.502139800285306,67.91655664114074,55.74954875962791,65.19471854855287
obsclim-histsoc,Factual,T10_G20,59.059837588684964,7.459565358657532,47.646219686162624,65.32875627145498,55.39770007533378,63.79783093520831
obsclim-histsoc,Factual,T10_G30,57.44933303623998,6.933103383818768,45.55397051830718,64.8270398732506,54.92528263531315,60.950191068900665
