Model,Event_Type,Basin_Name,Mean_Delta_Total,Mean_Delta_CC,Mean_Delta_HA,Mean_Abs_Delta_CC,Mean_Abs_Delta_HA,DIndex,Residual,Valid_Grid_Count
h08,Drought,CSL,2.163521771130248,1.6058766408309937,0.5576451302992546,2.1235628376051956,0.7694504859802919,0.7340314751725149,-3.3306690738754696e-16,1987
h08,Drought,PSE,0.00892341961623897,-0.025076572249147753,0.033999991865386714,0.11972340728391122,0.08842829422202748,0.5751738103399334,6.938893903907228e-18,271
h08,Drought,SWRB,0.2813123968279107,0.28347945632856975,-0.0021670595006590293,0.3411351803546524,0.016457339810693274,0.9539773935901019,-1.1709383462843448e-17,314
h08,Drought,YHH,0.25526772561375083,0.012587917254615963,0.24267980835913489,0.4719281222552624,0.4696553658212744,0.5012068799329897,-2.7755575615628914e-17,576
h08,Drought,YZR,0.014272862900186842,0.033299243540915235,-0.019026380640728393,0.16484265989019314,0.08904148898845472,0.6492829923343699,0.0,675
h08,Flood,CSL,-0.53981720784839,-0.4786034627433546,-0.061213745105035494,0.6991572860625093,0.19526916251655047,0.7816822581367457,2.7755575615628914e-17,1987
h08,Flood,PSE,0.015734139496056978,0.002893446398722924,0.012840693097334054,0.07082269119297314,0.04299064696759064,0.6222705733580982,0.0,271
h08,Flood,SWRB,-0.21332732575802663,-0.21761901098734107,0.004291685229314433,0.2669660009207333,0.012342865758196672,0.9558092591010189,1.3010426069826053e-17,314
h08,Flood,YHH,0.01652325704684668,-0.014647440364868593,0.031170697411715277,0.15666576014713493,0.14163894640580335,0.5251870208736799,-6.938893903907228e-18,576
h08,Flood,YZR,-0.05103740503858103,-0.07457061299477265,0.023533207956191633,0.16267409245668563,0.047686190657953376,0.773311815558044,-1.3877787807814457e-17,675
hydropy,Drought,CSL,0.33939222859551077,0.10754202688650777,0.2318502017090031,0.4112094787364936,0.2482542873335912,0.6235512849887072,-1.1102230246251565e-16,1985
hydropy,Drought,PSE,0.013902677431916496,-0.0015164920505627345,0.015419169482479232,0.12175508942546269,0.036646914699386565,0.7686461424408355,-1.734723475976807e-18,271
hydropy,Drought,SWRB,0.3020083477310875,0.29775058394810383,0.0042577637829836696,0.31513296449502637,0.011274063084457268,0.9654601092137579,-2.168404344971009e-17,312
hydropy,Drought,YHH,0.13160988500058793,0.02458535730842152,0.10702452769216643,0.18717275870405228,0.16521194790951535,0.5311602779325773,-1.3877787807814457e-17,576
hydropy,Drought,YZR,0.03797407705195474,0.023728864963936773,0.014245212088017975,0.1525080041833184,0.03495225435624985,0.8135484575314811,-6.938893903907228e-18,672
hydropy,Flood,CSL,-0.0947484417961324,-0.047297904378645665,-0.04745053741748674,0.22629073588727938,0.06153043266595253,0.7862199192114926,6.938893903907228e-18,1985
hydropy,Flood,PSE,-0.002051926172938903,0.001531627142604202,-0.003583553315543105,0.05051608139446118,0.014987136457389307,0.771199996749993,-4.336808689942018e-19,271
