Model,Event_Type,Basin_Name,Mean_Delta_Total,Mean_Delta_CC,Mean_Delta_HA,Mean_Abs_Delta_CC,Mean_Abs_Delta_HA,DIndex,Residual,Valid_Grid_Count
h08,Drought,CSL,0.8195794157433509,0.6875972489400871,0.13198216680326375,0.9884829630418749,0.3187977803401374,0.7561367120612602,5.551115123125783e-17,1865
h08,Drought,PSE,0.009206183275866153,-0.02533798064393288,0.03454416391979904,0.12113393779495488,0.08953579701696461,0.5749944950711603,-6.938893903907228e-18,271
h08,Drought,SWRB,0.28845702675541557,0.29064315269857566,-0.00218612594316004,0.3491018315955085,0.016630063004992694,0.9545293608500889,-4.90059381963448e-17,314
h08,Drought,YHH,0.2923741862445365,0.014044375645545405,0.2783298105989911,0.5446777874629595,0.5244790654022813,0.5094460985806468,0.0,576
h08,Drought,YZR,0.014525431883506081,0.03373680676182773,-0.01921137487832163,0.16677588721237388,0.09020325359953603,0.6489860876857773,-1.734723475976807e-17,675
h08,Flood,CSL,-0.4405400060453671,-0.36521636491452797,-0.07532364113083907,0.6093785293976778,0.20951286316374118,0.7441506101213206,-4.163336342344337e-17,1972
h08,Flood,PSE,0.015879682539208684,0.002923963162995006,0.012955719376213677,0.07133511525987352,0.04332526407815806,0.6221426762384036,0.0,271
h08,Flood,SWRB,-0.22329272679844636,-0.2276124418418492,0.004319715043402851,0.27736413584491115,0.012458278946057789,0.9570140944583491,-1.214306433183765e-17,314
h08,Flood,YHH,0.014629327069645549,-0.016782558514952264,0.03141188558459781,0.16094341911960927,0.1437549211100558,0.5282057624544291,6.938893903907228e-18,576
h08,Flood,YZR,-0.05506626783038351,-0.07878173957358389,0.023715471743200392,0.16753965039746385,0.04806160539141497,0.777081050777933,-6.938893903907228e-18,675
hydropy,Drought,CSL,0.2376259783086403,0.0743344632538875,0.16329151505475278,0.3172767060621717,0.1799368151473968,0.6381095696881582,2.7755575615628914e-17,1978
hydropy,Drought,PSE,0.014083773565891555,-0.0014888381839055311,0.015572611749797084,0.12299980849178281,0.037036576102630996,0.7685740264847012,1.734723475976807e-18,271
hydropy,Drought,SWRB,0.30514248087357665,0.30084580959139995,0.004296671282176676,0.3184246129222893,0.011391287821221502,0.965461677876834,2.42861286636753e-17,312
hydropy,Drought,YHH,0.13811957195643776,0.028572436417065365,0.10954713553937237,0.19407588071719994,0.16862719409063287,0.5350819835757531,2.7755575615628914e-17,576
hydropy,Drought,YZR,0.03836596903139113,0.02385827034324291,0.014507698688148206,0.1540501579694278,0.03548761995254278,0.8127675635874955,1.5612511283791264e-17,672
hydropy,Flood,CSL,-0.09742386173582647,-0.049335412451432324,-0.04808844928439414,0.23174339142264078,0.06241190786162435,0.7878266751831967,-6.938893903907228e-18,1985
hydropy,Flood,PSE,-0.0020722470277326137,0.0015367124190391367,-0.003608959446771749,0.0508126975684511,0.015079425241488545,0.7711498036725287,-1.3010426069826053e-18,271
hydropy,Flood,SWRB,-0.07322082539327268,-0.07214102228778319,-0.0010798031054894994,0.12070517654897994,0.005280258744979885,0.9580883398731008,3.0357660829594124e-18,312
hydropy,Flood,YHH,0.015434996330446323,0.008856035273371395,0.006578961057074927,0.0956791562603668,0.06847632807102004,0.582856897228092,8.673617379884035e-19,576
hydropy,Flood,YZR,-0.007001312103238433,-0.004398316931107573,-0.0026029951721308594,0.06977405904993227,0.01646374043694815,0.8090890475532968,-8.673617379884035e-19,672
jules-w2,Drought,CSL,-0.0276541258172682,-0.02667695487271849,-0.0009771709445496992,0.44310970845392206,0.039695081385696884,0.9177823372488019,-9.540979117872439e-18,1464
jules-w2,Drought,PSE,-0.07225658411764543,-0.07115152336921896,-0.0011050607484264867,0.14377033931673625,0.008694005683415386,0.9429767944537673,8.239936510889834e-18,271
jules-w2,Drought,SWRB,0.15461733578701986,0.15235671106742574,0.0022606247195941036,0.28447773850025065,0.02489648336344899,0.9195263160147272,1.951563910473908e-17,314
jules-w2,Drought,YHH,-0.10996475985349036,-0.11194842695710047,0.0019836671036101232,0.15239953936559927,0.029450940459207268,0.8380485963656511,-8.239936510889834e-18,568
jules-w2,Drought,YZR,-0.05324540430790363,-0.05294665407359167,-0.00029875023431195783,0.16547290742047774,0.01731294725477291,0.905282893550312,-1.3010426069826053e-18,675
jules-w2,Flood,CSL,0.01348131466039782,0.012576772137716357,0.0009045425226814591,0.1411714981316982,0.02541843271058411,0.8474191532341243,2.710505431213761e-18,1475
jules-w2,Flood,PSE,0.0026834044978800067,0.002998635680040317,-0.00031523118216030823,0.04958564945908225,0.005700893800024957,0.8968846040291032,-2.0599841277224584e-18,271
