Basin_Name,Event_Type,Mean_Delta_Total_mean,Mean_Delta_Total_std,Mean_Delta_Total_q25,Mean_Delta_Total_q75,Mean_Delta_CC_mean,Mean_Delta_CC_std,Mean_Delta_CC_q25,Mean_Delta_CC_q75,Mean_Delta_HA_mean,Mean_Delta_HA_std,Mean_Delta_HA_q25,Mean_Delta_HA_q75,Mean_Abs_Delta_CC_mean,Mean_Abs_Delta_CC_std,Mean_Abs_Delta_CC_q25,Mean_Abs_Delta_CC_q75,Mean_Abs_Delta_HA_mean,Mean_Abs_Delta_HA_std,Mean_Abs_Delta_HA_q25,Mean_Abs_Delta_HA_q75,DIndex_mean,DIndex_std,DIndex_q25,DIndex_q75,Model_Count,Pooled_DIndex,Climate_Dominant_Model_Count,Human_Dominant_Model_Count,Equal_Model_Count
CSL,Drought,0.21038484669363117,0.2859394528545467,0.04668270996701042,0.2307143712466957,0.1530585507437273,0.25206445820836954,0.0027425656041305813,0.1653349833382869,0.05732629594990386,0.06894403759104356,0.005709814365955903,0.10373282792628094,0.4331466557880354,0.26304556205385127,0.2831424236320603,0.4669824037190262,0.16081834395764485,0.09356114562142126,0.10299216475050817,0.20536608822362423,0.7157330321075791,0.14175240006506262,0.6544384471524576,0.8061034957159785,7,0.7292460935804249,6,1,0
CSL,Flood,-0.0789443107550304,0.1664789443512029,-0.07739658974208974,0.007172897351259093,-0.06546289406122188,0.13913705097074183,-0.06960398256010414,0.01770524772068068,-0.013481416693808522,0.037691904903753355,-0.03502884627295939,0.0088018196884969,0.2335716067825063,0.17367601642735112,0.13568378687562505,0.243532600472339,0.09221244147495566,0.060928896349243734,0.05366298645026732,0.11174759484728267,0.7128479259522074,0.10046591976602262,0.6636130939587557,0.7659886426522586,7,0.7169522511363673,7,0,0
PSE,Drought,-0.011533440527938029,0.04288341809947559,-0.04099646846793248,0.011644978420878853,-0.015603369999711205,0.03117902089871991,-0.0320184594415035,0.0055081458520941425,0.004069929471773176,0.023914151083257548,-0.013245233305724446,0.02320672488707294,0.12460655137378916,0.01901120509296374,0.11285811243524135,0.13338507390425952,0.0642387200117983,0.04254421221753218,0.033438227153175855,0.08254200742738915,0.6842241877586277,0.15319078719850643,0.5755455525636346,0.7831615798470031,7,0.6598341089481949,7,0,0
PSE,Flood,0.002678456577666801,0.009393733071346772,-0.003173616127905966,0.008976928627104835,0.0020392037287722082,0.003950955510033132,0.0011634744534896138,0.004355024670183496,0.0006392528488945919,0.009460626846969833,-0.001962095314466029,0.005554460312393565,0.0625946612245448,0.016248031758387887,0.0523655751812645,0.06734651900279295,0.034574673649267966,0.029444160702154956,0.01581336768102018,0.03857807206220929,0.6885183900627883,0.1357707656382437,0.6174911973018302,0.7820315572580268,7,0.6441812255464364,7,0,0
SWRB,Drought,0.5488616093320507,0.8799413589832159,0.1840291808388848,0.2967997538144961,0.547368783194537,0.8785427026275705,0.16996611861435107,0.2957444811449878,0.001492826137513826,0.014848695424613334,3.724938821703192e-05,0.005034705302059104,0.6110530169554298,0.8811554563310013,0.24526964242121335,0.3337632222588989,0.047960634217078205,0.03483490681793187,0.020763273184220842,0.07587136052712942,0.8854708151916361,0.09303598996228207,0.8298225915737154,0.9593741324035674,7,0.9272236104187717,7,0,0
SWRB,Flood,-0.12703631534586854,0.12401195867814511,-0.1482650961828172,-0.05858710185477066,-0.1225529270782005,0.12119138626909033,-0.1498767320648162,-0.05456956466192993,-0.004483388267668058,0.011091521023911432,-0.011336484075064095,0.0019121038840805415,0.19179164125954593,0.12163381970367598,0.11983804096185582,0.21148466589908918,0.03627884120873085,0.027072860663373888,0.015747989090489956,0.05636253095869994,0.8341182160023364,0.11271007167285292,0.7788288679816175,0.90792643115656,7,0.8409314488393866,7,0,0
YHH,Drought,0.07834829231832272,0.12285227577503477,0.027374308203506285,0.11807603394251374,-0.026965271298339356,0.05378358042442948,-0.06630493753938205,0.011907915607899652,0.10531356361666207,0.09520439422932629,0.04078483402608392,0.1369957913817002,0.2405252094218549,0.13971471296291937,0.1637574206897045,0.23250420851390838,0.25587309120447427,0.16852131896745332,0.13727899903721497,0.3434486338810474,0.5238948714976033,0.16665282253858238,0.41289358728359893,0.5734131853249955,7,0.4845407591411431,4,3,0
YHH,Flood,0.015292170009506872,0.01648993094302429,0.007642882780954707,0.018401619740539686,0.004030930032865671,0.01187578324605843,0.001061264097045018,0.009170315074545517,0.011261239976641201,0.01690078497394025,-0.0012556143794669869,0.02259781406304634,0.10512115964969734,0.03139337863204328,0.0873207613405601,0.11823259584873214,0.0918216966560973,0.046533649642145805,0.06712963388719886,0.1225850240939231,0.5620812676962429,0.11975758190253266,0.48835646632164476,0.5918746454271648,7,0.533764776349516,5,2,0
YZR,Drought,0.02161150998510262,0.08033165824113908,-0.023851842374462882,0.028321952813766448,0.03368019742399497,0.07181785659845089,0.005034712381360138,0.03685704164583248,-0.012068687438892362,0.021039673547305317,-0.0268234659245905,0.0026516239784348423,0.17252451962923687,0.0786887575642968,0.12881982309592896,0.1661243973164258,0.07154347522445444,0.04346372181403541,0.04110268289997157,0.10279359926456334,0.7140391856508996,0.13793608232611465,0.6684857201644825,0.781210369269984,7,0.706870721548961,6,1,0
YZR,Flood,-0.006518364916689812,0.02387373241623801,-0.011367090779676577,0.006311478702922856,-0.01624486654139013,0.029857324488240702,-0.01978514556637743,0.00023380791491186496,0.00972650162470032,0.009082821446487402,0.004149674137253248,0.014278270243240718,0.08973271846639642,0.03599792732435168,0.07054931692097194,0.0889498603992882,0.03560410132275397,0.018086172086087076,0.021591492470087553,0.048505407925072117,0.7227034895869998,0.10481349002181879,0.6768770998151328,0.793085049165615,7,0.715932625523374,7,0,0
