Basin_Name,Event_Type,Pooled_DIndex_ScenarioSpecific,Pooled_DIndex_CommonReference,DIndex_Difference,Dominance_ScenarioSpecific,Dominance_CommonReference,Dominance_Stable
CSL,Drought,0.7300039226354504,0.6562842968732056,-0.07371962576224489,Climate,Climate,True
CSL,Flood,0.7277447755223245,0.7421150363392441,0.014370260816919611,Climate,Climate,True
PSE,Drought,0.6599685626147693,0.6446526150714601,-0.015315947543309227,Climate,Climate,True
PSE,Flood,0.6445448113130421,0.6338620658429247,-0.010682745470117383,Climate,Climate,True
SWRB,Drought,0.9382540698283832,0.9225684547793784,-0.015685615049004786,Climate,Climate,True
SWRB,Flood,0.840369566860921,0.8637493641993288,0.023379797338407782,Climate,Climate,True
YHH,Drought,0.4910863979857677,0.4775758679838327,-0.013510530001934973,Human,Human,True
YHH,Flood,0.5295289342373776,0.5466934636825584,0.017164529445180876,Climate,Climate,True
YZR,Drought,0.7049882490272531,0.7125898125167788,0.007601563489525676,Climate,Climate,True
YZR,Flood,0.7147416046887048,0.7235256423463774,0.00878403765767255,Climate,Climate,True
