Scenario,Scenario_Label,Model,Definition,Percent_FR_GT_1
countclim-1901soc,Natural,h08,T05_D10,45.095474758043416
countclim-1901soc,Natural,h08,T05_D20,43.63065655244572
countclim-1901soc,Natural,h08,T05_D30,44.23227831545906
countclim-1901soc,Natural,h08,T08_D10,43.99686110384515
countclim-1901soc,Natural,h08,T08_D20,42.50588543029035
countclim-1901soc,Natural,h08,T08_D30,42.40125555846194
countclim-1901soc,Natural,h08,T10_D10,41.66884645566309
countclim-1901soc,Natural,h08,T10_D20,40.67486267329323
countclim-1901soc,Natural,h08,T10_D30,40.596390269421924
countclim-1901soc,Natural,hydropy,T05_D10,31.516898087503275
countclim-1901soc,Natural,hydropy,T05_D20,31.621692428608856
countclim-1901soc,Natural,hydropy,T05_D30,32.198061304689546
countclim-1901soc,Natural,hydropy,T08_D10,30.495153261723868
countclim-1901soc,Natural,hydropy,T08_D20,32.22425988996594
countclim-1901soc,Natural,hydropy,T08_D30,31.936075451925593
countclim-1901soc,Natural,hydropy,T10_D10,29.394812680115272
countclim-1901soc,Natural,hydropy,T10_D20,31.726486769714434
countclim-1901soc,Natural,hydropy,T10_D30,31.176316478910138
countclim-1901soc,Natural,jules-w2,T05_D10,48.478642480983034
countclim-1901soc,Natural,jules-w2,T05_D20,46.37214745465184
countclim-1901soc,Natural,jules-w2,T05_D30,47.630193095377415
countclim-1901soc,Natural,jules-w2,T08_D10,47.24985371562317
countclim-1901soc,Natural,jules-w2,T08_D20,44.645991808074896
countclim-1901soc,Natural,jules-w2,T08_D30,47.630193095377415
countclim-1901soc,Natural,jules-w2,T10_D10,45.17261556465769
countclim-1901soc,Natural,jules-w2,T10_D20,44.47045055588063
countclim-1901soc,Natural,jules-w2,T10_D30,46.63545933294324
countclim-1901soc,Natural,lpjml5-7-10-fire,T05_D10,45.67034436643263
countclim-1901soc,Natural,lpjml5-7-10-fire,T05_D20,44.73420260782347
countclim-1901soc,Natural,lpjml5-7-10-fire,T05_D30,41.79204279505182
countclim-1901soc,Natural,lpjml5-7-10-fire,T08_D10,45.77064526914076
countclim-1901soc,Natural,lpjml5-7-10-fire,T08_D20,43.93179538615847
countclim-1901soc,Natural,lpjml5-7-10-fire,T08_D30,43.196255432965565
countclim-1901soc,Natural,lpjml5-7-10-fire,T10_D10,45.068538950183886
countclim-1901soc,Natural,lpjml5-7-10-fire,T10_D20,43.39685723838181
countclim-1901soc,Natural,lpjml5-7-10-fire,T10_D30,43.162821798729524
countclim-1901soc,Natural,miroc-integ-land,T05_D10,36.07114831284331
countclim-1901soc,Natural,miroc-integ-land,T05_D20,36.09730578080042
countclim-1901soc,Natural,miroc-integ-land,T05_D30,37.45749411456971
countclim-1901soc,Natural,miroc-integ-land,T08_D10,37.692911326183626
countclim-1901soc,Natural,miroc-integ-land,T08_D20,37.352864242741305
countclim-1901soc,Natural,miroc-integ-land,T08_D30,37.37902171069841
countclim-1901soc,Natural,miroc-integ-land,T10_D10,37.37902171069841
countclim-1901soc,Natural,miroc-integ-land,T10_D20,35.8095736332723
countclim-1901soc,Natural,miroc-integ-land,T10_D30,36.28040805650013
countclim-1901soc,Natural,watergap2-2e,T05_D10,38.262476894639555
countclim-1901soc,Natural,watergap2-2e,T05_D20,36.625297068919984
countclim-1901soc,Natural,watergap2-2e,T05_D30,36.41404805914972
countclim-1901soc,Natural,watergap2-2e,T08_D10,34.93530499075786
countclim-1901soc,Natural,watergap2-2e,T08_D20,34.750462107208875
countclim-1901soc,Natural,watergap2-2e,T08_D30,35.64827039873251
countclim-1901soc,Natural,watergap2-2e,T10_D10,34.43358859255347
countclim-1901soc,Natural,watergap2-2e,T10_D20,33.166094533931876
countclim-1901soc,Natural,watergap2-2e,T10_D30,34.64483760232374
countclim-1901soc,Natural,web-dhm-sg,T05_D10,47.646219686162624
countclim-1901soc,Natural,web-dhm-sg,T05_D20,48.597242035187826
countclim-1901soc,Natural,web-dhm-sg,T05_D30,49.97622444127437
countclim-1901soc,Natural,web-dhm-sg,T08_D10,44.55539705183072
countclim-1901soc,Natural,web-dhm-sg,T08_D20,50.21398002853067
countclim-1901soc,Natural,web-dhm-sg,T08_D30,51.307655729909655
