Scenario,Scenario_Label,Definition,mean,std,min,max,q25,q75
countclim-1901soc,Natural,T05_D10,41.820172083801125,6.528085698602378,31.516898087503275,48.478642480983034,37.166812603741434,46.65828202629763
countclim-1901soc,Natural,T05_D20,41.09693484691973,6.304812877515377,31.621692428608856,48.597242035187826,36.3613014248602,45.55317503123766
countclim-1901soc,Natural,T05_D30,41.385763160795946,6.39817364610677,32.198061304689546,49.97622444127437,36.93577108685972,45.93123570541824
countclim-1901soc,Natural,T08_D10,40.670875245586444,6.334464680632421,30.495153261723868,47.24985371562317,36.314108158470745,45.16302116048574
countclim-1901soc,Natural,T08_D20,40.80360555613864,6.300208217290422,32.22425988996594,50.21398002853067,36.05166317497509,44.28889359711668
countclim-1901soc,Natural,T08_D30,41.35696105401015,6.831417075377829,31.936075451925593,51.307655729909655,36.51364605471546,45.41322426417149
countclim-1901soc,Natural,T10_D10,39.47054837137371,5.967731637927811,29.394812680115272,45.17261556465769,35.90630515162594,44.122476797964026
countclim-1901soc,Natural,T10_D20,39.94299411219411,6.732125375286967,31.726486769714434,50.35663338088445,34.48783408360209,43.93365389713122
countclim-1901soc,Natural,T10_D30,40.421138450659384,6.86484082450878,31.176316478910138,50.45173561578697,35.462622829411934,44.89914056583638
countclim-histsoc,Historical,T05_D10,42.95411838615649,6.121414287099423,35.99155003960919,50.66701543290609,37.19944867157137,47.84478525063946
countclim-histsoc,Historical,T05_D20,43.06009400303217,6.099600170723852,34.82968048587272,49.78601997146933,37.9064404181604,47.89490162021714
countclim-histsoc,Historical,T05_D30,43.598198337114276,6.132093425105282,34.30155796144705,50.16642891107941,39.254557392273824,48.70460841321514
countclim-histsoc,Historical,T08_D10,42.61151043583474,5.5958651777783786,33.852653815685244,48.78367773999477,38.62636698811045,46.65652408757382
countclim-histsoc,Historical,T08_D20,43.097485706455934,6.046225448143254,33.19250066015316,49.97622444127437,39.4777387749547,47.44147430520702
countclim-histsoc,Historical,T08_D30,44.16631929778915,6.169682872366819,34.77686823343016,50.641940085592005,39.71360827708084,48.75556114044112
countclim-histsoc,Historical,T10_D10,41.85780339687477,5.259124158066854,33.61499867969369,47.632749149882294,38.430720503583,45.88328570654424
countclim-histsoc,Historical,T10_D20,42.69133133999468,6.3520981115662885,33.00765777660417,50.59438896814075,38.837723715051226,46.51643044925167
countclim-histsoc,Historical,T10_D30,43.35799150467994,6.620997562850639,34.011090573012936,50.879695672848314,38.130341353928905,47.625451120122946
obsclim-histsoc,Factual,T05_D10,42.08674206256605,5.361550380737527,37.331772966647165,53.596651844101494,39.358206608255884,41.98680206096177
obsclim-histsoc,Factual,T05_D20,41.559345091808495,6.2430522909127735,34.34757167934465,52.2364635103322,37.31555168876606,44.221586214087665
obsclim-histsoc,Factual,T05_D30,42.79622433754235,7.198391377577378,34.90345231129315,54.224431075071934,38.49080469116177,46.23766265266468
obsclim-histsoc,Factual,T08_D10,40.49627767286421,6.96622910544615,34.08425980105324,54.69526549829976,36.28695605745691,41.817392262379144
obsclim-histsoc,Factual,T08_D20,41.46708477975422,7.987227041413513,32.82621416032768,54.93068270991368,35.86470669618056,45.12703588654695
obsclim-histsoc,Factual,T08_D30,42.71939901736378,8.34075017805062,33.26506729081334,56.16008370389747,37.891110045888,46.41983487314058
obsclim-histsoc,Factual,T10_D10,39.76301847058068,7.788419233967031,32.094792276184904,55.32304472927021,34.45046281864779,41.322946490446135
obsclim-histsoc,Factual,T10_D20,40.42301955796027,8.967276756497263,29.520187244002337,55.558461940884115,34.72001873778164,44.19447821524723
obsclim-histsoc,Factual,T10_D30,41.78304447485294,9.094880470661272,30.98303101228789,56.89249280669632,36.81507951369291,45.75200466516701
