Scenario,Scenario_Label,Model,Definition,Percent_FR_GT_1
countclim-1901soc,Natural,h08,T05_G10,41.01490975673555
countclim-1901soc,Natural,h08,T05_G20,37.614438922312324
countclim-1901soc,Natural,h08,T05_G30,37.84985613392624
countclim-1901soc,Natural,h08,T08_G10,37.74522626209783
countclim-1901soc,Natural,h08,T08_G20,34.92021972273084
countclim-1901soc,Natural,h08,T08_G30,35.234109338216065
countclim-1901soc,Natural,h08,T10_G10,36.96050222338478
countclim-1901soc,Natural,h08,T10_G20,35.05100706251635
countclim-1901soc,Natural,h08,T10_G30,33.87392100444677
countclim-1901soc,Natural,hydropy,T05_G10,49.882106366256224
countclim-1901soc,Natural,hydropy,T05_G20,44.930573749017555
countclim-1901soc,Natural,hydropy,T05_G30,40.16243122871365
countclim-1901soc,Natural,hydropy,T08_G10,56.24836258842022
countclim-1901soc,Natural,hydropy,T08_G20,51.5850144092219
countclim-1901soc,Natural,hydropy,T08_G30,46.528687450877655
countclim-1901soc,Natural,hydropy,T10_G10,58.55383809274299
countclim-1901soc,Natural,hydropy,T10_G20,54.23107152213781
countclim-1901soc,Natural,hydropy,T10_G30,50.09169504846738
countclim-1901soc,Natural,jules-w2,T05_G10,42.68578115857227
countclim-1901soc,Natural,jules-w2,T05_G20,40.57928613224108
countclim-1901soc,Natural,jules-w2,T05_G30,41.164423639555295
countclim-1901soc,Natural,jules-w2,T08_G10,43.06612053832651
countclim-1901soc,Natural,jules-w2,T08_G20,40.66705675833821
countclim-1901soc,Natural,jules-w2,T08_G30,40.49151550614394
countclim-1901soc,Natural,jules-w2,T10_G10,45.28964306612054
countclim-1901soc,Natural,jules-w2,T10_G20,43.06612053832651
countclim-1901soc,Natural,jules-w2,T10_G30,42.802808660035105
countclim-1901soc,Natural,lpjml5-7-10-fire,T05_G10,45.87094617184888
countclim-1901soc,Natural,lpjml5-7-10-fire,T05_G20,44.26613172851889
countclim-1901soc,Natural,lpjml5-7-10-fire,T05_G30,41.524573721163485
countclim-1901soc,Natural,lpjml5-7-10-fire,T08_G10,51.62153126044801
countclim-1901soc,Natural,lpjml5-7-10-fire,T08_G20,48.110999665663655
countclim-1901soc,Natural,lpjml5-7-10-fire,T08_G30,45.83751253761284
countclim-1901soc,Natural,lpjml5-7-10-fire,T10_G10,52.992310264125706
countclim-1901soc,Natural,lpjml5-7-10-fire,T10_G20,51.889000334336345
countclim-1901soc,Natural,lpjml5-7-10-fire,T10_G30,49.38147776663323
countclim-1901soc,Natural,miroc-integ-land,T05_G10,43.02903478943239
countclim-1901soc,Natural,miroc-integ-land,T05_G20,41.35495684017787
countclim-1901soc,Natural,miroc-integ-land,T05_G30,40.67486267329323
countclim-1901soc,Natural,miroc-integ-land,T08_G10,45.880198796756474
countclim-1901soc,Natural,miroc-integ-land,T08_G20,43.918388699973846
countclim-1901soc,Natural,miroc-integ-land,T08_G30,44.41538059115878
countclim-1901soc,Natural,miroc-integ-land,T10_G10,47.188072194611564
countclim-1901soc,Natural,miroc-integ-land,T10_G20,45.880198796756474
countclim-1901soc,Natural,miroc-integ-land,T10_G30,44.88621501438661
countclim-1901soc,Natural,watergap2-2e,T05_G10,49.617111169791386
countclim-1901soc,Natural,watergap2-2e,T05_G20,45.62978611037761
countclim-1901soc,Natural,watergap2-2e,T05_G30,41.72167942962767
countclim-1901soc,Natural,watergap2-2e,T08_G10,53.52521785054133
countclim-1901soc,Natural,watergap2-2e,T08_G20,48.402429363612356
countclim-1901soc,Natural,watergap2-2e,T08_G30,45.97306575125429
countclim-1901soc,Natural,watergap2-2e,T10_G10,54.951148666490624
countclim-1901soc,Natural,watergap2-2e,T10_G20,51.808819646157914
countclim-1901soc,Natural,watergap2-2e,T10_G30,49.273831528914705
countclim-1901soc,Natural,web-dhm-sg,T05_G10,47.456015216357585
countclim-1901soc,Natural,web-dhm-sg,T05_G20,43.604374702805515
countclim-1901soc,Natural,web-dhm-sg,T05_G30,42.60580123632906
countclim-1901soc,Natural,web-dhm-sg,T08_G10,41.32192106514503
