Scenario,Scenario_Label,Definition,mean,std,min,max,q25,q75
countclim-1901soc,Natural,T05_G10,45.65084351842775,3.5142403650192233,41.01490975673555,49.882106366256224,42.85740797400233,48.536563193074485
countclim-1901soc,Natural,T05_G20,42.568506883635834,2.8541850823115555,37.614438922312324,45.62978611037761,40.96712148620948,44.59835273876823
countclim-1901soc,Natural,T05_G30,40.81480400894409,1.521632388315019,37.84985613392624,42.60580123632906,40.41864695100344,41.623126575395574
countclim-1901soc,Natural,T08_G10,47.058368337390775,6.880723816085939,37.74522626209783,56.24836258842022,42.19402080173577,52.57337455549467
countclim-1901soc,Natural,T08_G20,44.03039470327384,5.757118576869325,34.92021972273084,51.5850144092219,40.637855530857166,48.256714514638006
countclim-1901soc,Natural,T08_G30,42.23109912924253,4.622020469861189,35.234109338216065,46.528687450877655,38.814469117789045,45.90528914443357
countclim-1901soc,Natural,T10_G10,48.06415236799283,7.85831825331273,36.96050222338478,58.55383809274299,42.901597567297074,53.971729465308165
countclim-1901soc,Natural,T10_G20,45.818275677208526,7.260163941165502,35.05100706251635,54.23107152213781,40.93391618927738,51.84890999024713
countclim-1901soc,Natural,T10_G30,43.85991595646523,6.4762777406317555,33.87392100444677,50.09169504846738,39.75613566620395,49.32765464777397
countclim-histsoc,Historical,T05_G10,46.92652499612137,3.1713631212701157,43.09537741369221,50.65195586760281,44.15380591158776,49.767631111815945
countclim-histsoc,Historical,T05_G20,43.35617233688181,2.3498353998660364,40.60854300760679,47.275158809762615,41.73424012555584,44.50907646237265
countclim-histsoc,Historical,T05_G30,41.74716810228518,1.5265240297488292,39.874246790673304,43.89836175192243,40.82790776799012,42.63184676077136
countclim-histsoc,Historical,T08_G10,48.05469054972415,5.547595682781192,41.09338216060685,54.17867435158501,43.624185349748345,53.441797092712875
countclim-histsoc,Historical,T08_G20,45.593355323210645,4.966245184947936,39.890138634580175,51.8555667001003,41.444374235363284,50.05182643295434
countclim-histsoc,Historical,T08_G30,43.86900571995413,3.6724322130034412,39.96861103845148,49.14744232698094,40.28855375877811,46.19951713523763
countclim-histsoc,Historical,T10_G10,49.08126075175784,6.767232238510025,39.86398116662307,56.61514278228975,44.10315364909613,55.24603914728077
countclim-histsoc,Historical,T10_G20,46.64602636592249,6.54106058159347,38.242218153282764,53.995319291206954,41.41490868043006,52.61729193795439
countclim-histsoc,Historical,T10_G30,45.51895703835954,5.17743426912995,39.039467427484546,51.92243396857238,41.184198624108,49.61954977589383
obsclim-histsoc,Factual,T05_G10,58.725507089220564,6.205298544226061,46.926497515040545,64.93266437813573,57.33026035947053,62.16415973099717
obsclim-histsoc,Factual,T05_G20,52.67066855345599,5.307970800986936,43.89223123201674,58.31805082525544,49.55641679931731,56.42065338965075
obsclim-histsoc,Factual,T05_G30,49.42270504174355,4.265323444178679,44.572325398901384,55.98637673565627,45.93750269544441,52.12202545141663
obsclim-histsoc,Factual,T08_G10,60.259574043775224,7.467210648710057,48.31284331676694,67.65249537892791,56.57028145778276,64.85175955271801
obsclim-histsoc,Factual,T08_G20,57.593534433095066,7.000247709894687,47.13575725869736,64.77422762080802,53.97548113633613,61.66261609090975
obsclim-histsoc,Factual,T08_G30,55.07856208436714,6.030957099454683,45.60152163575844,63.63876419329284,52.2705416861113,57.565994496720926
obsclim-histsoc,Factual,T10_G10,60.21777390424699,7.865466706003313,48.502139800285306,67.91655664114074,55.74954875962791,65.19471854855287
obsclim-histsoc,Factual,T10_G20,59.059837588684964,7.459565358657532,47.646219686162624,65.32875627145498,55.39770007533378,63.79783093520831
obsclim-histsoc,Factual,T10_G30,57.44933303623998,6.933103383818768,45.55397051830718,64.8270398732506,54.92528263531315,60.950191068900665
