Basin_Name,Event_Type,Mean_Delta_Total_mean,Mean_Delta_Total_std,Mean_Delta_Total_q25,Mean_Delta_Total_q75,Mean_Delta_CC_mean,Mean_Delta_CC_std,Mean_Delta_CC_q25,Mean_Delta_CC_q75,Mean_Delta_HA_mean,Mean_Delta_HA_std,Mean_Delta_HA_q25,Mean_Delta_HA_q75,Mean_Abs_Delta_CC_mean,Mean_Abs_Delta_CC_std,Mean_Abs_Delta_CC_q25,Mean_Abs_Delta_CC_q75,Mean_Abs_Delta_HA_mean,Mean_Abs_Delta_HA_std,Mean_Abs_Delta_HA_q25,Mean_Abs_Delta_HA_q75,DIndex_mean,DIndex_std,DIndex_q25,DIndex_q75,Model_Count,Pooled_DIndex,Climate_Dominant_Model_Count,Human_Dominant_Model_Count,Equal_Model_Count
CSL,Drought,0.2917400055130499,0.5825197439761871,0.019568401789504582,0.21178605383836768,0.07612037655467022,0.15441462877801532,-0.007618517767404296,0.11449880737183202,0.2156196289583797,0.44717077964164637,0.0027989974986517,0.1636530748713806,0.749276879157472,0.8800028377604202,0.28872998180286763,0.7190783379645866,0.39241869809055807,0.5737527408893681,0.11466849111765429,0.29230251512439986,0.6630729478876463,0.16462200989290804,0.5509488549728441,0.7409952816133971,7,0.6562842968732056,6,1,0
CSL,Flood,0.06399917952008702,0.07538304239175177,0.01975687829782501,0.11060991563178624,0.055920130676005916,0.09427642893294416,0.019323951464756652,0.11474429775656828,0.008079048844081104,0.026095980602447034,-0.0040690549939396605,0.002491346551998685,0.30104887603434743,0.21279971022839536,0.18002679522691536,0.29554090901304286,0.10461447977014071,0.09023925255009795,0.05505710942963758,0.11941558120376114,0.7445809536022179,0.1275563522963362,0.6811568319945289,0.8351171325197188,7,0.7421150363392441,7,0,0
PSE,Drought,0.005162108172992693,0.030896706734693608,-0.013826863460115808,0.031114905867390553,0.008120535737642482,0.026414361846978335,-0.011091565575740443,0.02572400073886941,-0.0029584275646497896,0.02450696413513426,-0.01982801940587507,0.005398965712987614,0.13080198895272743,0.02678472169278979,0.1172154477086825,0.12930116173556933,0.07210107216062576,0.05563633629823302,0.03439300083919403,0.09459700178626987,0.685502694730091,0.1540761225596528,0.57288394641264,0.7800039290080485,7,0.6446526150714601,7,0,0
PSE,Flood,-6.973731893390808e-05,0.017957163435571022,-0.004116142623599807,0.0075000181895361565,0.0021828686451968566,0.005926830242007316,-0.0010197185567535857,0.006886309824561728,-0.002252605964130765,0.018040624608033896,0.00011851510932412449,0.0054014679540357775,0.07767495557022808,0.016885428617524584,0.06739212482985787,0.08126812866964847,0.04486740775440801,0.04592114181206063,0.01741784666750106,0.04544188509469144,0.6933146027946597,0.15997758847862226,0.6180649372334301,0.8044293641048335,7,0.6338620658429247,6,1,0
SWRB,Drought,0.6199557212077937,1.0680297155354872,0.1862012387802264,0.282344400806482,0.6092424644764165,1.0638904408376675,0.17688329313130036,0.29236031012015645,0.010713256731377204,0.029636295838302337,0.002407049609982806,0.023507772343811226,0.7499105537506623,1.1547314441698215,0.26590727294300653,0.42069461493710086,0.06294029744172398,0.04116773289260996,0.03130088915171002,0.09012799891620929,0.8646768041441464,0.10870100361385,0.7860372787422509,0.94557342025992,7,0.9225684547793784,7,0,0
SWRB,Flood,0.1173676149869345,0.09058396729798623,0.058998053088033305,0.17200978254915392,0.12246147481576643,0.08098204191551256,0.04957505269494912,0.17922659844877187,-0.005093859828831913,0.025714423809290853,-0.014094969573367422,0.0010633850190281838,0.2612161656700435,0.13208589531138537,0.1808920774374585,0.29137073272109243,0.0412050881067202,0.03500671006305405,0.01749698289869909,0.05587819331653809,0.8555631523576003,0.11476301344081358,0.7818424531635157,0.943131818766502,7,0.8637493641993288,7,0,0
YHH,Drought,0.08394278683882085,0.1952611852081342,-0.030112788915595618,0.09365096276326168,-0.1485433406581298,0.45879353123226063,-0.05833714654113176,0.021054201566511187,0.2324861274969507,0.38068008722411933,0.0307221041186911,0.19942891971153698,0.3968260386727933,0.4578370409534592,0.15721796986481124,0.36816859917098554,0.434091235996175,0.5232228996029469,0.1719536411351437,0.4014238300266439,0.528053411412408,0.17175739595274878,0.42630931066945454,0.5618683632523933,7,0.4775758679838327,2,5,0
YHH,Flood,0.01652394038630641,0.07753252974208752,-0.006906993371663773,0.047982177300340684,0.012937753418201494,0.05843509323005352,0.005941740240349003,0.049093760126129746,0.003586186968104922,0.03284091410234378,-0.011818010298060837,0.010705111784185322,0.14108277688742588,0.06714904751522932,0.09711767708721702,0.16530734905496602,0.11698282341641578,0.07342972690289516,0.07035892116082636,0.16853289670362517,0.5828455033540997,0.14745996025610356,0.5148216551504082,0.5983505630622343,7,0.5466934636825584,5,2,0
YZR,Drought,0.012849806017863138,0.05774965238659708,-0.029691229194120122,0.037702358955450994,0.022502754987477207,0.04309196183402137,-0.01067387199581811,0.04798852837472554,-0.009652948969614073,0.027923677435746422,-0.026634909639349218,0.006334719961728777,0.20216800325005993,0.09559113366001476,0.14289185779471367,0.23067892987552008,0.0815408004669447,0.050831198523924814,0.043952883159747116,0.12520498727604176,0.7237591308694581,0.13345892022901323,0.6994980290058226,0.7661981660347628,7,0.7125898125167788,6,1,0
YZR,Flood,0.05410611842168334,0.026880801449529482,0.03904781209416826,0.06936469941731536,0.043156617766018646,0.023979485066175497,0.03375789571900084,0.05809508825463692,0.010949500655664695,0.011678568981918921,0.0027382178110158884,0.013773572661325091,0.12760774554030058,0.0448826119757,0.10174722212507861,0.1510436670284561,0.048761602098121096,0.03307325326471716,0.026325304107762234,0.07271752397709574,0.741663070474423,0.1228164717344805,0.6807080645895442,0.8084845433603971,7,0.7235256423463774,7,0,0
