Model,Event_Type,Basin_Name,Mean_Delta_Total,Mean_Delta_CC,Mean_Delta_HA,Mean_Abs_Delta_CC,Mean_Abs_Delta_HA,DIndex,Residual,Valid_Grid_Count
h08,Drought,CSL,0.0765783912883424,-0.10449612894642887,0.1810745202347713,0.8342460228215272,0.46432480236730883,0.6424339794483004,-2.7755575615628914e-17,1502
h08,Drought,PSE,0.04185550145468749,-0.002473291652670364,0.04432879310735786,0.1394112124046265,0.10196633418200082,0.5775649573710188,0.0,271
h08,Drought,SWRB,0.174548831346862,0.16227502311766828,0.01227380822919373,0.470366240052162,0.046313452507143964,0.9103633195302563,-1.3877787807814457e-17,307
h08,Drought,YHH,-0.1616264757091341,-0.3009893847800329,0.13936290907089885,0.5421243741806949,0.593039862572383,0.4775735145879322,-5.551115123125783e-17,536
h08,Drought,YZR,-0.016298478168124318,-0.0123654172302908,-0.003933060937833523,0.28762138298559947,0.12136468241394541,0.7032547250836472,5.204170427930421e-18,674
h08,Flood,CSL,-0.03172557248494935,-0.14717801151044116,0.11545243902549181,0.858770100954092,0.32014029014252615,0.7284439151946631,0.0,1979
h08,Flood,PSE,0.024201782501891454,0.010068146447593181,0.014133636054298269,0.08879689611315726,0.04762211626201072,0.6509129084511738,3.469446951953614e-18,271
h08,Flood,SWRB,0.1712016515911366,0.16971168109887474,0.001489970492261789,0.31988578636573883,0.01822288122171098,0.9461034780571019,6.049848122469115e-17,314
h08,Flood,YHH,-0.1397510556797293,-0.11403255496853071,-0.02571850071119863,0.2778142913444822,0.22413467630973485,0.553471187803823,2.42861286636753e-17,576
h08,Flood,YZR,0.09561672278155525,0.06228120093012342,0.033335521851431835,0.19008221371313078,0.06557790938440002,0.7434957450936416,0.0,675
hydropy,Drought,CSL,0.21147223092909032,0.11142331814695076,0.10004891278213959,0.30252598010570475,0.15293886411060278,0.6642136796007693,-4.163336342344337e-17,1903
hydropy,Drought,PSE,0.04064101445434744,0.029777032811213706,0.010863981643133729,0.12371410246918026,0.04436096707074418,0.7360645621496726,3.469446951953614e-18,271
hydropy,Drought,SWRB,0.36255603547443904,0.35569022696404673,0.006865808510392265,0.3784251229569621,0.016945742900840333,0.957139626704475,4.7704895589362195e-17,311
hydropy,Drought,YHH,0.12515528168656706,0.022622979066711405,0.10253230261985569,0.2003210331390387,0.27042507306071545,0.42553943729071536,-2.7755575615628914e-17,542
