Basin_Name,Event_Type,Mean_Delta_Total_mean,Mean_Delta_Total_std,Mean_Delta_Total_q25,Mean_Delta_Total_q75,Mean_Delta_CC_mean,Mean_Delta_CC_std,Mean_Delta_CC_q25,Mean_Delta_CC_q75,Mean_Delta_HA_mean,Mean_Delta_HA_std,Mean_Delta_HA_q25,Mean_Delta_HA_q75,Mean_Abs_Delta_CC_mean,Mean_Abs_Delta_CC_std,Mean_Abs_Delta_CC_q25,Mean_Abs_Delta_CC_q75,Mean_Abs_Delta_HA_mean,Mean_Abs_Delta_HA_std,Mean_Abs_Delta_HA_q25,Mean_Abs_Delta_HA_q75,DIndex_mean,DIndex_std,DIndex_q25,DIndex_q75,Model_Count,Pooled_DIndex,Climate_Dominant_Model_Count,Human_Dominant_Model_Count,Equal_Model_Count
CSL,Drought,0.04352287744494554,0.08825414829118133,0.00019528353073366284,0.06882894735092386,0.006589322326261858,0.07966589353212108,-0.04084797492641269,0.06039115810713939,0.03693355511868369,0.07973591734000272,-0.02009975535782574,0.06896087535406789,0.37717090757268956,0.21162909701103685,0.26688891876661325,0.36784421856242333,0.18369671639760932,0.13795008762504768,0.11620095493328343,0.20450432616243933,0.6819711299227781,0.1345595050475847,0.6318371623102426,0.7076267352287688,7,0.6724775891016004,6,1,0
CSL,Flood,0.05743710249339489,0.08465698361338742,-0.0015792656278456711,0.1123037137475357,0.04461223061973603,0.11416478871661133,0.000752728346510332,0.11878365116024565,0.012824871873658857,0.04563575733985444,-0.008991163259624641,0.0026319327173947036,0.32219740591218204,0.24816211229610205,0.18394310262634217,0.3084714753918961,0.10731256653873389,0.10129782269827163,0.04753768595116365,0.12155747366597433,0.7525774902726047,0.13218906221008675,0.6807829123616912,0.8601398447066562,7,0.7501511642992236,7,0,0
PSE,Drought,0.0043576455443171975,0.031550897545001726,-0.017102804615875978,0.031903560807338756,0.0075477033826321285,0.026472795895474712,-0.011982940138674358,0.02427346548546337,-0.0031900578383149284,0.025396881620622334,-0.01966376039028036,0.005442350632458441,0.13205665015977094,0.027630679577233076,0.11702585229821,0.13156265743690337,0.07282236895749182,0.05646941253659303,0.0348585786377507,0.0949618855085511,0.6853678501989705,0.15412610217520442,0.572927317669047,0.7797591777648514,7,0.6445591682776857,7,0,0
PSE,Flood,-0.00021231820457802742,0.018390644854311564,-0.004133281895185529,0.007536154043435496,0.0021721244784931983,0.0059463390356893,-0.0010456876286809623,0.006843490862764202,-0.0023844426830712264,0.01845149590225586,0.00011296018407417715,0.005433947471953289,0.07821155494858326,0.017069773850300025,0.06780846500162127,0.0818744338518951,0.045360095828596,0.046696433369467626,0.0175412324768034,0.04577117368897793,0.6930048377222823,0.16047569488307906,0.6180290624992886,0.804354266779175,7,0.6329247400733686,6,1,0
SWRB,Drought,0.30738190958430767,0.2524478123907317,0.17771005762744452,0.2832609116659426,0.2997432182234673,0.26054610139820034,0.16961930502585576,0.30110122261602673,0.007638691360840328,0.030393308156617487,-0.0031367355995159073,0.019313404728143455,0.44847563385903133,0.3549024750876051,0.2701126170062356,0.4243956815045621,0.06462293568234533,0.04176395321688477,0.033616169825507435,0.09174671958121196,0.8548065827855131,0.10139902162786842,0.7853379775038462,0.9224144711215093,7,0.8740535649122793,7,0,0
SWRB,Flood,0.11851270472030931,0.09050096083892559,0.059347662254093055,0.17292958487507143,0.11903004220675661,0.0878567334243733,0.046281531120032374,0.18021924221475066,-0.0005173374864473086,0.018875125146056375,-0.014073097654190195,0.0010483349357277227,0.2699689412707347,0.14817131768312672,0.18238350095631306,0.29454143559375506,0.037247149317992875,0.026903062517600204,0.017647923955781963,0.05627603410953405,0.862841911563253,0.11447513221195489,0.8070639756849891,0.9432320519888123,7,0.8787591195284887,7,0,0
YHH,Drought,0.03641328861657681,0.11893941731488537,-0.030183934025787902,0.12854379625872336,-0.055973803140584324,0.11382692035877275,-0.058602056262758856,0.010716905172330836,0.09238709175716116,0.060164055401745194,0.06012022999009696,0.13711984780148048,0.24277243536128967,0.1456885452546918,0.15921062954578047,0.2617036002145777,0.27613640658036676,0.19033533159953347,0.17224358983131044,0.3520718601264681,0.5160466573925975,0.17747949269256552,0.40543306844371735,0.5577600688355163,7,0.4678517992734181,2,5,0
YHH,Flood,0.015192435384325288,0.08127062974913013,-0.007115891362211977,0.05108846999066187,0.014714836292917522,0.061642209060162406,0.0059768575229924,0.056019569524210396,0.00047759909140776075,0.03318928489296325,-0.017801318313251664,0.010850991994460808,0.14113942142014016,0.06911044720776921,0.09777956130777606,0.16092240681471387,0.11785437952272805,0.07729958495544394,0.07116007732124445,0.17163984977307933,0.5827859277262417,0.1478147812897632,0.5112017916884537,0.5978757324187659,7,0.5449528942635746,5,2,0
YZR,Drought,0.01949274129124488,0.06872901709436693,-0.02590815389481389,0.0382922136656657,0.028903648421544113,0.052216559005218086,-0.0074148800567127564,0.04866240139016402,-0.009410907130299238,0.028380083998837125,-0.02693821044746486,0.006424551838298576,0.20247443855225478,0.0930343159717982,0.1444699068146136,0.23171057070228224,0.08320059002139946,0.052120335865578675,0.04459580946675139,0.12782357257178284,0.7213220713070813,0.1333564046628306,0.695675903757917,0.7657364010908574,7,0.7087579182653403,6,1,0
YZR,Flood,0.05526666441435547,0.027601941937438326,0.03932606762880651,0.07248688024666673,0.044493330574956115,0.02474331641519433,0.03400239288007268,0.0609613100677418,0.010773333839399362,0.01192076140566534,0.0018757710815517988,0.01383946168189621,0.12770250757994678,0.04392888922283206,0.10242357577030284,0.1521563859844159,0.049003558618505104,0.03360416781090485,0.02575901929571524,0.07329456018554255,0.7415716589411204,0.12409227205288945,0.6766400424144285,0.8123568227054009,7,0.722683212451399,7,0,0
